,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
0,Public Class,com.android.cellbroadcastreceiver.CellBroadcastAlertAudio,3,3,2,0,10,16,14,14,7,278,2,83,Lines Increased
1,Anonymous Class,com.android.cellbroadcastreceiver.CellBroadcastAlertAudio.(Anon_1),8,1,2,0,1,0,1,1,1,32,2,0,Lines Increased
2,Anonymous Class,com.android.cellbroadcastreceiver.CellBroadcastAlertAudio.(Anon_2),2,1,1,0,1,0,1,1,1,8,2,0,No Change
3,Anonymous Class,com.android.cellbroadcastreceiver.CellBroadcastAlertAudio.play.(Anon_3),1,1,1,0,1,0,1,1,1,8,2,0,No Change
4,Public Class,com.android.cellbroadcastreceiver.CellBroadcastAlertDialog,1,1,2,0,5,1,18,5,2,39,3,60,Lines Increased
5,Private Class,com.android.cellbroadcastreceiver.CellBroadcastAlertDialog.ScreenOffReceiver,1,1,1,0,1,0,1,1,1,6,2,0,No Change
6,Public Class,com.android.cellbroadcastreceiver.CellBroadcastAlertFullScreen,2,1,12,1,13,4,13,13,2,287,2,78,Lines Increased
7,Private Class,com.android.cellbroadcastreceiver.CellBroadcastAlertFullScreen.AnimationHandler,2,1,1,0,7,4,7,7,1,59,2,53,No Change
8,Anonymous Class,com.android.cellbroadcastreceiver.CellBroadcastAlertFullScreen.dismiss.(Anon_2),1,2,2,0,1,0,1,1,1,6,1,0,No Change
9,Anonymous Class,com.android.cellbroadcastreceiver.CellBroadcastAlertFullScreen.onCreate.(Anon_1),1,1,1,0,1,0,1,1,1,5,2,0,No Change
10,Private Class,com.android.cellbroadcastreceiver.CellBroadcastAlertFullScreen.ScreenOffHandler,1,1,1,0,6,1,6,6,1,33,2,50,No Change
11,Public Class,com.android.cellbroadcastreceiver.CellBroadcastAlertReminder,3,1,2,0,3,0,7,7,2,94,2,78,Lines Decreased
12,Public Class,com.android.cellbroadcastreceiver.CellBroadcastAlertService,4,1,11,0,7,0,8,8,2,252,2,87,Lines Increased
13,Anonymous Class,com.android.cellbroadcastreceiver.CellBroadcastAlertService.handleCellBroadcastIntent.(Anon_1),2,2,2,0,1,0,1,1,1,10,1,0,No Change
14,Private Static Class,com.android.cellbroadcastreceiver.CellBroadcastAlertService.MessageServiceCategoryAndScope,1,1,0,0,4,3,4,4,3,33,1,0,Lines Increased
15,Class,com.android.cellbroadcastreceiver.CellBroadcastAlertWakeLock,1,1,0,0,1,0,3,3,0,21,1,33,Lines Increased
16,Public Class,com.android.cellbroadcastreceiver.CellBroadcastConfigService,12,1,2,0,2,0,5,5,1,229,2,0,Lines Increased
17,Public Class,com.android.cellbroadcastreceiver.CellBroadcastContentProvider,2,1,1,0,10,1,10,10,6,148,2,40,Lines Increased
18,Static Class,com.android.cellbroadcastreceiver.CellBroadcastContentProvider.AsyncCellBroadcastTask,2,1,2,0,2,1,2,2,0,28,2,0,No Change
19,Interface,com.android.cellbroadcastreceiver.CellBroadcastContentProvider.CellBroadcastOperation,0,0,1,3,1,0,1,1,0,3,0,0,No Change
20,Public Class,com.android.cellbroadcastreceiver.CellBroadcastCursorAdapter,1,1,1,0,3,0,3,3,3,19,2,0,Lines Increased
21,Public Class,com.android.cellbroadcastreceiver.CellBroadcastDatabaseHelper,5,1,0,0,4,0,6,6,2,226,2,0,Lines Increased
22,Public Class,com.android.cellbroadcastreceiver.CellBroadcastListActivity,2,1,2,0,1,0,1,1,0,165,2,0,Lines Increased
23,Public Static Class,com.android.cellbroadcastreceiver.CellBroadcastListActivity.CursorLoaderListFragment,1,2,7,0,14,2,15,15,13,153,2,80,Lines Increased
24,Anonymous Class,com.android.cellbroadcastreceiver.CellBroadcastListActivity.CursorLoaderListFragment.(Anon_1),1,1,1,0,1,0,1,1,1,8,2,0,No Change
25,Public Class,com.android.cellbroadcastreceiver.CellBroadcastListActivity.CursorLoaderListFragment.DeleteThreadListener,1,2,2,0,2,1,2,2,2,22,1,50,Lines Increased
26,Anonymous Class,com.android.cellbroadcastreceiver.CellBroadcastListActivity.CursorLoaderListFragment.DeleteThreadListener.onClick.(Anon_2),2,2,2,0,1,0,1,1,1,9,1,0,Lines Increased
27,Public Class,com.android.cellbroadcastreceiver.CellBroadcastListItem,1,1,1,0,5,4,6,6,3,44,2,54,Lines Increased
28,Public Class,com.android.cellbroadcastreceiver.CellBroadcastOptOutActivity,1,1,0,0,1,0,2,2,0,31,2,0,Lines Increased
29,Anonymous Class,com.android.cellbroadcastreceiver.CellBroadcastOptOutActivity.showOptOutDialog.(Anon_1),1,1,1,0,1,0,1,1,1,6,2,0,No Change
30,Anonymous Class,com.android.cellbroadcastreceiver.CellBroadcastOptOutActivity.showOptOutDialog.(Anon_2),1,1,2,0,1,0,1,1,1,8,2,0,No Change
31,Public Class,com.android.cellbroadcastreceiver.CellBroadcastReceiver,4,1,4,1,4,1,8,8,1,144,2,87,Lines Increased
32,Public Class,com.android.cellbroadcastreceiver.CellBroadcastReceiverApp,1,1,0,0,1,0,5,5,1,23,2,60,Lines Increased
33,Public Class,com.android.cellbroadcastreceiver.CellBroadcastResources,5,1,1,0,1,0,10,10,2,177,1,0,Lines Increased
34,Public Class,com.android.cellbroadcastreceiver.CellBroadcastSearchIndexableProvider,2,1,1,0,4,0,4,4,4,91,2,75,Lines Increased
35,Public Class,com.android.cellbroadcastreceiver.CellBroadcastSettings,2,1,1,0,1,0,1,1,1,129,2,0,Lines Increased
36,Public Static Class,com.android.cellbroadcastreceiver.CellBroadcastSettings.CellBroadcastSettingsFragment,12,1,1,0,1,0,1,1,1,98,2,0,Class Deleted
37,Anonymous Class,com.android.cellbroadcastreceiver.CellBroadcastSettings.CellBroadcastSettingsFragment.onCreate.(Anon_1),1,1,1,0,1,0,1,1,1,6,2,0,Class Deleted
38,Anonymous Class,com.android.cellbroadcastreceiver.CellBroadcastSettings.CellBroadcastSettingsFragment.onCreate.(Anon_2),1,1,0,0,1,0,1,1,1,8,2,0,Class Deleted
39,Anonymous Class,com.android.cellbroadcastreceiver.CellBroadcastSettings.CellBroadcastSettingsFragment.onCreate.(Anon_3),1,1,0,0,1,0,1,1,1,8,2,0,Class Deleted
40,Public Class,com.android.cellbroadcastreceiver.PrivilegedCellBroadcastReceiver,1,1,0,0,1,0,9,1,1,5,3,0,Lines Increased
