,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
0,Public Class,com.android.alarmclock.AnalogAppWidgetProvider,2,1,1,0,1,0,1,1,1,18,2,0,No Change
1,Public Class,com.android.alarmclock.DigitalAppWidgetProvider,3,1,6,0,12,2,12,12,7,176,2,91,Lines Increased
2,Public Class,com.android.alarmclock.DigitalAppWidgetService,1,1,1,0,1,0,1,1,1,7,2,0,No Change
3,Public Class,com.android.alarmclock.DigitalWidgetViewsFactory,1,2,4,0,11,5,11,11,11,137,1,72,No Change
4,Private Class,com.android.alarmclock.DigitalWidgetViewsFactory.RemoteWorldClockAdapter,2,1,4,0,4,2,19,4,2,68,3,50,No Change
5,Public Class,com.android.alarmclock.WidgetUtils,4,1,1,0,0,0,5,5,4,88,1,0,Lines Increased
6,Public Class,com.android.deskclock.AlarmAlertWakeLock,1,1,1,0,0,0,4,4,4,29,1,25,No Change
7,Public Class,com.android.deskclock.AlarmClockFragment,1,4,13,0,28,19,37,29,17,1071,3,91,Lines Increased
8,Public Class,com.android.deskclock.AlarmClockFragment.AlarmItemAdapter,2,1,8,0,30,18,30,30,14,643,2,91,Lines Increased
9,Anonymous Class,com.android.deskclock.AlarmClockFragment.AlarmItemAdapter.(Anon_3),3,1,2,0,1,0,1,1,1,12,2,0,No Change
10,Anonymous Class,com.android.deskclock.AlarmClockFragment.AlarmItemAdapter.bindExpandArea.(Anon_10),1,1,2,0,1,0,1,1,1,5,2,0,Class Deleted
11,Anonymous Class,com.android.deskclock.AlarmClockFragment.AlarmItemAdapter.bindExpandArea.(Anon_11),3,1,5,0,1,0,1,1,1,23,2,0,Lines Decreased
12,Anonymous Class,com.android.deskclock.AlarmClockFragment.AlarmItemAdapter.bindExpandArea.(Anon_13),1,1,3,0,1,0,1,1,1,7,2,0,Class Deleted
13,Anonymous Class,com.android.deskclock.AlarmClockFragment.AlarmItemAdapter.bindExpandArea.(Anon_14),1,1,2,0,1,0,1,1,1,5,2,0,Lines Increased
14,Anonymous Class,com.android.deskclock.AlarmClockFragment.AlarmItemAdapter.bindExpandArea.(for_loop_3).(Anon_12),3,1,5,0,1,0,1,1,1,21,2,0,Class Deleted
15,Anonymous Class,com.android.deskclock.AlarmClockFragment.AlarmItemAdapter.bindView.(Anon_4),1,1,4,0,1,0,1,1,1,8,2,0,Modified
16,Anonymous Class,com.android.deskclock.AlarmClockFragment.AlarmItemAdapter.bindView.(Anon_5),2,1,3,0,1,0,1,1,1,10,2,0,Lines Increased
17,Anonymous Class,com.android.deskclock.AlarmClockFragment.AlarmItemAdapter.bindView.(Anon_6),1,1,2,0,1,0,1,1,1,6,2,0,Lines Increased
18,Anonymous Class,com.android.deskclock.AlarmClockFragment.AlarmItemAdapter.bindView.(Anon_7),1,1,2,0,1,0,1,1,1,6,2,0,No Change
19,Anonymous Class,com.android.deskclock.AlarmClockFragment.AlarmItemAdapter.bindView.(Anon_8),1,1,3,0,1,0,1,1,1,7,2,0,Lines Decreased
20,Anonymous Class,com.android.deskclock.AlarmClockFragment.AlarmItemAdapter.bindView.(Anon_9),2,1,1,0,1,0,1,1,1,9,2,0,Lines Decreased
21,Anonymous Class,com.android.deskclock.AlarmClockFragment.AlarmItemAdapter.collapseAlarm.(Anon_18),2,1,3,0,1,0,1,1,1,48,2,0,Class Deleted
22,Anonymous Class,com.android.deskclock.AlarmClockFragment.AlarmItemAdapter.collapseAlarm.(Anon_18).onPreDraw.(Anon_19),1,1,4,0,1,0,1,1,1,16,2,0,Class Deleted
23,Anonymous Class,com.android.deskclock.AlarmClockFragment.AlarmItemAdapter.collapseAlarm.(Anon_18).onPreDraw.(Anon_20),1,1,2,0,1,0,1,1,1,11,2,0,Class Deleted
24,Anonymous Class,com.android.deskclock.AlarmClockFragment.AlarmItemAdapter.expandAlarm.(Anon_15),2,1,3,0,1,0,1,1,1,54,2,0,Class Deleted
25,Anonymous Class,com.android.deskclock.AlarmClockFragment.AlarmItemAdapter.expandAlarm.(Anon_15).onPreDraw.(Anon_16),1,1,4,0,1,0,1,1,1,15,2,0,Class Deleted
26,Anonymous Class,com.android.deskclock.AlarmClockFragment.AlarmItemAdapter.expandAlarm.(Anon_15).onPreDraw.(Anon_17),1,1,3,0,4,0,4,4,4,17,2,0,Class Deleted
27,Public Class,com.android.deskclock.AlarmClockFragment.AlarmItemAdapter.ItemHolder,0,1,2,0,0,19,0,0,0,21,1,0,No Change
28,Anonymous Class,com.android.deskclock.AlarmClockFragment.asyncAddAlarm.(Anon_22),2,1,5,0,2,0,2,2,0,22,2,0,Class Deleted
29,Anonymous Class,com.android.deskclock.AlarmClockFragment.asyncDeleteAlarm.(Anon_21),2,1,4,0,1,0,1,1,0,12,2,0,Class Deleted
30,Anonymous Class,com.android.deskclock.AlarmClockFragment.asyncUpdateAlarm.(Anon_23),2,1,5,0,2,0,2,2,0,17,2,0,Class Deleted
31,Anonymous Class,com.android.deskclock.AlarmClockFragment.onCreateView.(Anon_1),4,1,1,0,1,1,1,1,1,16,2,0,Lines Increased
