,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
0,Public Abstract Class,com.android.dialer.activity.TransactionSafeActivity,1,1,0,1,5,1,5,5,1,25,2,0,Class Deleted
1,Public Class,com.android.dialer.CallDetailActivity,2,2,17,0,21,27,22,22,9,537,2,92,Lines Decreased
2,Anonymous Class,com.android.dialer.CallDetailActivity.markVoicemailAsRead.(Anon_3),1,1,1,0,1,0,1,1,1,9,2,0,Class Deleted
3,Anonymous Class,com.android.dialer.CallDetailActivity.onMenuRemoveFromCallLog.(Anon_5),1,1,1,0,2,0,2,2,2,12,2,0,Class Deleted
4,Anonymous Class,com.android.dialer.CallDetailActivity.onMenuTrashVoicemail.(Anon_6),1,1,1,0,2,0,2,2,2,11,2,0,Class Deleted
5,Private Class,com.android.dialer.CallDetailActivity.ProximitySensorListener,1,2,1,0,4,2,4,4,3,37,1,50,Class Deleted
6,Anonymous Class,com.android.dialer.CallDetailActivity.ProximitySensorListener.(Anon_1),1,1,0,0,1,0,1,1,1,7,2,0,Class Deleted
7,Anonymous Class,com.android.dialer.CallDetailActivity.ProximitySensorListener.(Anon_2),1,1,0,0,1,0,1,1,1,7,2,0,Class Deleted
8,Class,com.android.dialer.CallDetailActivity.updateData.UpdateContactDetailsTask,5,1,6,0,3,0,3,3,2,99,2,0,Class Deleted
9,Anonymous Class,com.android.dialer.CallDetailActivity.updateVoicemailStatusMessage.(Anon_4),1,1,3,0,1,0,1,1,1,6,2,0,Class Deleted
10,Static Class,com.android.dialer.CallDetailActivity.ViewEntry,1,1,0,0,2,7,2,2,2,19,1,57,Class Deleted
11,Public Class,com.android.dialer.CallDetailActivityQueryHandler,1,1,2,0,6,2,6,6,2,53,2,75,Class Deleted
12,Public Class,com.android.dialer.calllog.CallDetailHistoryAdapter,1,1,4,0,10,5,10,10,8,105,2,74,Lines Increased
13,Public Class,com.android.dialer.calllog.CallLogActivity,2,2,8,0,8,12,8,8,6,161,2,82,Lines Decreased
