,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
0,Public Abstract Class,com.android.exchange.adapter.AbstractSyncAdapter,2,1,4,0,11,5,17,17,11,169,1,86,Lines Increased
1,Protected Static Class,com.android.exchange.adapter.AbstractSyncAdapter.Operation,1,1,1,0,4,6,4,4,1,40,1,37,No Change
2,Public Abstract Class,com.android.exchange.adapter.AbstractSyncParser,2,1,6,4,15,5,39,15,10,131,2,83,Lines Increased
3,Public Class,com.android.exchange.adapter.Base64InputStream,3,1,0,0,5,7,5,5,3,97,2,62,Lines Increased
4,Public Class,com.android.exchange.adapter.CalendarSyncParser,6,1,6,0,24,8,72,33,11,1052,3,92,Lines Increased
5,Protected Static Class,com.android.exchange.adapter.CalendarSyncParser.CalendarOperations,1,1,2,0,13,7,13,13,13,101,2,78,No Change
6,Public Class,com.android.exchange.adapter.ContactsSyncParser,6,1,12,0,17,5,59,20,12,1053,3,88,Lines Increased
7,Public Static Class,com.android.exchange.adapter.ContactsSyncParser.Address,1,1,0,0,1,5,1,1,0,11,1,0,No Change
8,Public Static Class,com.android.exchange.adapter.ContactsSyncParser.ContactOperations,3,1,8,0,23,5,26,26,20,406,2,94,No Change
9,Public Static Class,com.android.exchange.adapter.ContactsSyncParser.EasBusiness,1,1,0,0,1,3,1,1,0,12,1,0,No Change
10,Public Static Class,com.android.exchange.adapter.ContactsSyncParser.EasChildren,1,1,0,0,1,0,1,1,0,7,1,0,No Change
11,Public Static Class,com.android.exchange.adapter.ContactsSyncParser.EasPersonal,1,1,0,0,1,2,1,1,0,10,1,0,No Change
12,Static Class,com.android.exchange.adapter.ContactsSyncParser.EmailRow,1,2,1,0,3,2,3,3,3,24,1,16,No Change
13,Static Class,com.android.exchange.adapter.ContactsSyncParser.ImRow,1,2,1,0,3,1,3,3,3,14,1,0,No Change
14,Static Class,com.android.exchange.adapter.ContactsSyncParser.PhoneRow,1,2,1,0,3,2,3,3,3,17,1,0,No Change
15,Private Static Class,com.android.exchange.adapter.ContactsSyncParser.RowBuilder,1,1,0,0,5,2,5,5,2,22,1,40,No Change
16,Class,com.android.exchange.adapter.ContactsSyncParser.ServerChange,1,1,0,0,1,2,1,1,0,8,1,0,No Change
17,Interface,com.android.exchange.adapter.ContactsSyncParser.UntypedRow,0,0,1,3,2,0,2,2,2,4,0,0,No Change
