,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
0,Public Class,com.android.fmradio.dialogs.FmFavoriteEditDialog,1,1,1,0,5,2,6,6,4,81,2,66,Lines Increased
1,Public Interface,com.android.fmradio.dialogs.FmFavoriteEditDialog.EditFavoriteListener,0,0,0,1,1,0,1,1,0,3,0,0,No Change
2,Anonymous Class,com.android.fmradio.dialogs.FmFavoriteEditDialog.onCreateDialog.(Anon_1),1,1,2,0,1,0,1,1,1,5,2,0,No Change
3,Anonymous Class,com.android.fmradio.dialogs.FmFavoriteEditDialog.setTextChangedCallback.(Anon_2),1,1,1,0,3,0,3,3,3,11,2,0,No Change
4,Public Class,com.android.fmradio.dialogs.FmSaveDialog,1,1,3,0,8,11,8,8,7,142,2,76,Lines Increased
5,Anonymous Class,com.android.fmradio.dialogs.FmSaveDialog.(Anon_2),6,1,2,0,1,0,1,1,1,35,2,0,No Change
6,Public Interface,com.android.fmradio.dialogs.FmSaveDialog.OnRecordingDialogClickListener,0,0,0,1,1,0,1,1,0,3,0,0,No Change
7,Anonymous Class,com.android.fmradio.dialogs.FmSaveDialog.setTextChangedCallback.(Anon_1),1,1,1,0,3,0,3,3,3,20,2,0,No Change
8,Public Interface,com.android.fmradio.FmListener,0,0,0,2,1,51,1,1,0,53,0,0,Lines Increased
9,Public Class,com.android.fmradio.FmMainActivity,2,2,14,0,39,40,39,39,12,836,2,90,Lines Increased
10,Anonymous Class,com.android.fmradio.FmMainActivity.(Anon_1),2,2,1,0,1,0,1,1,1,12,1,0,No Change
11,Anonymous Class,com.android.fmradio.FmMainActivity.(Anon_2),8,1,3,0,1,0,1,1,1,31,2,0,No Change
12,Anonymous Class,com.android.fmradio.FmMainActivity.(Anon_3),17,1,6,0,1,0,1,1,1,102,2,0,No Change
13,Anonymous Class,com.android.fmradio.FmMainActivity.(Anon_4),3,1,4,0,2,0,2,2,2,34,2,0,No Change
14,Private Class,com.android.fmradio.FmMainActivity.NoHeadsetAlpaInListener,1,2,1,0,3,0,3,3,3,20,1,0,No Change
15,Private Class,com.android.fmradio.FmMainActivity.NoHeadsetAlpaOutListener,1,2,1,0,3,0,3,3,3,22,1,0,No Change
16,Anonymous Class,com.android.fmradio.FmMainActivity.onActivityResult.(Anon_6),3,2,1,0,1,0,1,1,1,20,1,0,No Change
17,Anonymous Class,com.android.fmradio.FmMainActivity.onCreate.(Anon_5),2,2,4,0,3,0,3,3,3,22,1,0,No Change
18,Public Class,com.android.fmradio.FmNative,0,1,0,0,0,0,16,16,0,20,1,0,Lines Increased
19,Public Class,com.android.fmradio.FmProvider,2,1,3,0,6,2,6,6,6,131,2,33,Lines Increased
20,Private Static Class,com.android.fmradio.FmProvider.DatabaseHelper,1,1,3,0,3,0,3,3,2,26,2,0,No Change
21,Public Class,com.android.fmradio.FmRecordActivity,2,2,9,0,20,19,20,20,4,396,2,85,Lines Increased
22,Anonymous Class,com.android.fmradio.FmRecordActivity.(Anon_2),2,1,5,0,2,0,2,2,2,24,2,0,No Change
23,Anonymous Class,com.android.fmradio.FmRecordActivity.(Anon_3),9,1,5,0,1,0,1,1,1,44,2,0,No Change
