,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
0,Public Class,com.android.incallui.AccelerometerListener,3,1,1,0,4,7,4,4,2,91,1,57,Lines Increased
1,Anonymous Class,com.android.incallui.AccelerometerListener.(Anon_1),1,1,1,0,2,0,2,2,2,6,2,0,Lines Increased
2,Anonymous Class,com.android.incallui.AccelerometerListener.(Anon_2),5,1,2,0,1,0,1,1,1,17,2,0,Lines Increased
3,Public Interface,com.android.incallui.AccelerometerListener.OrientationListener,0,0,0,1,1,0,1,1,1,3,0,0,No Change
4,Public Class,com.android.incallui.AnswerFragment,1,3,5,0,20,5,26,20,15,253,3,84,Lines Increased
5,Public Class,com.android.incallui.AnswerFragment.RespondViaSmsItemClickListener,2,2,4,0,1,0,1,1,1,16,1,0,No Change
6,Anonymous Class,com.android.incallui.AnswerFragment.showCustomMessageDialog.(Anon_2),1,1,3,0,1,0,1,1,1,7,2,0,No Change
7,Anonymous Class,com.android.incallui.AnswerFragment.showCustomMessageDialog.(Anon_3),1,1,3,0,1,0,1,1,1,6,2,0,No Change
8,Anonymous Class,com.android.incallui.AnswerFragment.showCustomMessageDialog.(Anon_4),1,1,1,0,3,0,3,3,3,13,2,0,Lines Decreased
9,Anonymous Class,com.android.incallui.AnswerFragment.showMessageDialog.(Anon_1),2,1,4,0,1,0,1,1,1,9,2,0,No Change
10,Public Class,com.android.incallui.AnswerPresenter,2,3,9,0,14,3,18,14,11,132,2,66,Lines Increased
11,Interface,com.android.incallui.AnswerPresenter.AnswerUi,0,1,0,1,5,0,5,5,5,7,1,0,Lines Increased
12,Class,com.android.incallui.AudioModeProvider,1,2,1,0,9,6,10,10,10,76,1,74,Lines Decreased
13,Anonymous Class,com.android.incallui.AudioModeProvider.(Anon_1),1,1,1,0,1,0,1,1,1,6,2,0,Class Deleted
14,Interface,com.android.incallui.AudioModeProvider.AudioModeListener,0,0,0,2,3,0,3,3,0,5,0,0,No Change
15,Public Abstract Generic Class,com.android.incallui.BaseFragment,1,1,1,6,6,1,6,6,3,21,2,0,Lines Increased
18,Public Class,com.android.incallui.Call,1,1,4,0,29,8,31,31,27,304,1,88,Lines Increased
19,Anonymous Class,com.android.incallui.Call.(Anon_1),1,1,1,0,9,0,9,9,9,44,2,0,Lines Increased
20,Public Static Class,com.android.incallui.Call.SessionModificationState,0,1,0,0,0,0,0,0,0,6,1,0,Lines Increased
21,Public Static Class,com.android.incallui.Call.State,8,1,0,0,0,0,3,3,3,65,1,0,Lines Increased
22,Public Class,com.android.incallui.CallButtonFragment,2,6,3,0,41,17,47,41,33,478,3,91,Lines Increased
23,Anonymous Class,com.android.incallui.CallButtonFragment.configureOverflowMenu.(Anon_1),6,1,3,0,1,0,1,1,1,25,2,0,Class Deleted
24,Anonymous Class,com.android.incallui.CallButtonFragment.configureOverflowMenu.(Anon_2),1,1,0,0,1,0,1,1,1,5,2,0,Class Deleted
25,Public Class,com.android.incallui.CallButtonPresenter,2,5,9,0,28,3,32,28,24,320,2,83,Lines Increased
26,Public Interface,com.android.incallui.CallButtonPresenter.CallButtonUi,0,1,0,1,24,0,24,24,0,27,1,0,Lines Decreased
