,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
0,Public Abstract Class,com.android.camera.ActivityBase,2,1,2,3,13,4,13,13,6,88,2,78,No Change
1,Public Class,com.android.camera.Camera,3,9,43,0,92,97,106,93,33,1705,3,96,No Change
2,Anonymous Class,com.android.camera.Camera.(Anon_1),1,1,1,0,1,0,1,1,1,4,2,0,No Change
3,Anonymous Class,com.android.camera.Camera.(Anon_3),4,1,1,0,1,0,1,1,1,16,2,0,No Change
4,Anonymous Class,com.android.camera.Camera.(Anon_4),3,1,5,0,1,0,1,1,1,10,2,0,No Change
5,Anonymous Class,com.android.camera.Camera.(Anon_5),1,1,1,0,1,0,1,1,1,5,2,0,No Change
6,Anonymous Class,com.android.camera.Camera.addBaseMenuItems.(Anon_6),1,1,2,0,1,0,1,1,1,4,2,0,No Change
7,Anonymous Class,com.android.camera.Camera.addBaseMenuItems.(Anon_7),1,1,2,0,1,0,1,1,1,4,2,0,No Change
8,Anonymous Class,com.android.camera.Camera.addBaseMenuItems.(Anon_8),1,1,2,0,1,0,1,1,1,7,2,0,No Change
9,Anonymous Class,com.android.camera.Camera.addIdleHandler.(Anon_2),1,1,1,0,1,0,1,1,1,5,2,0,No Change
10,Private Class,com.android.camera.Camera.AutoFocusCallback,2,2,2,0,1,0,1,1,1,11,1,0,No Change
11,Private Class,com.android.camera.Camera.ImageSaver,3,1,7,0,7,4,7,7,6,118,2,60,No Change
12,Private Class,com.android.camera.Camera.JpegPictureCallback,3,2,2,0,2,1,2,2,2,47,1,0,No Change
13,Private Class,com.android.camera.Camera.MainHandler,9,1,3,0,1,0,1,1,1,37,2,0,No Change
14,Private Class,com.android.camera.Camera.MyOrientationEventListener,2,1,2,0,2,0,2,2,2,21,2,0,No Change
15,Anonymous Class,com.android.camera.Camera.onRestorePreferencesClicked.(Anon_9),1,1,1,0,1,0,1,1,1,4,2,0,No Change
16,Private Class,com.android.camera.Camera.PopupGestureListener,3,1,3,0,1,0,1,1,1,14,2,0,No Change
17,Private Class,com.android.camera.Camera.PostViewPictureCallback,1,2,1,0,1,0,1,1,1,9,1,0,No Change
18,Private Class,com.android.camera.Camera.RawPictureCallback,1,2,1,0,1,0,1,1,1,8,1,0,No Change
19,Private Static Class,com.android.camera.Camera.SaveRequest,0,1,0,0,0,6,0,0,0,7,1,0,No Change
20,Private Class,com.android.camera.Camera.ShutterCallback,1,2,2,0,1,0,1,1,1,9,1,0,No Change
21,Private Class,com.android.camera.Camera.ZoomChangeListener,3,2,3,0,2,0,2,2,2,22,1,0,No Change
22,Private Class,com.android.camera.Camera.ZoomListener,3,2,3,0,1,0,1,1,1,19,1,0,No Change
23,Public Class,com.android.camera.CameraAppImpl,1,1,1,0,1,0,1,1,1,7,2,0,No Change
24,Public Class,com.android.camera.CameraButtonIntentReceiver,2,1,4,0,1,0,1,1,1,17,2,0,No Change
25,Public Class,com.android.camera.CameraDisabledException,0,1,0,0,0,0,0,0,0,2,2,0,No Change
26,Public Class,com.android.camera.CameraErrorCallback,2,2,0,0,1,0,1,1,1,10,1,0,No Change
27,Public Class,com.android.camera.CameraHardwareException,1,1,0,0,1,0,1,1,1,5,2,0,No Change
28,Public Class,com.android.camera.CameraHolder,2,1,3,0,10,10,11,11,9,130,1,77,No Change
29,Private Class,com.android.camera.CameraHolder.MyHandler,2,1,1,0,2,0,2,2,1,15,2,0,No Change
30,Public Abstract Class,com.android.camera.CameraPreference,1,1,1,2,4,3,4,4,4,27,1,44,No Change
31,Public Interface,com.android.camera.CameraPreference.OnPreferenceChangedListener,0,0,0,2,3,0,3,3,3,5,0,0,No Change
32,Public Class,com.android.camera.CameraSettings,3,1,9,0,9,4,23,23,14,381,1,89,No Change
33,Public Class,com.android.camera.ComboPreferences,1,3,2,0,16,3,18,18,17,176,1,69,No Change
34,Private Class,com.android.camera.ComboPreferences.MyEditor,1,2,1,0,11,2,11,11,10,70,1,9,No Change
35,Public Class,com.android.camera.EffectsRecorder,4,1,1,0,30,34,31,31,22,677,1,88,No Change
36,Anonymous Class,com.android.camera.EffectsRecorder.(Anon_1),12,1,1,0,1,0,1,1,1,42,2,0,No Change
37,Anonymous Class,com.android.camera.EffectsRecorder.(Anon_2),2,1,1,0,1,0,1,1,1,6,2,0,No Change
38,Anonymous Class,com.android.camera.EffectsRecorder.(Anon_3),2,1,1,0,1,0,1,1,1,5,2,0,No Change
39,Anonymous Class,com.android.camera.EffectsRecorder.(Anon_4),13,1,1,0,1,0,1,1,1,44,2,0,No Change
40,Public Interface,com.android.camera.EffectsRecorder.EffectsListener,0,0,0,1,2,0,2,2,2,4,0,0,No Change
41,Anonymous Class,com.android.camera.EffectsRecorder.raiseError.(Anon_6),2,1,2,0,1,0,1,1,1,8,2,0,No Change
42,Anonymous Class,com.android.camera.EffectsRecorder.sendMessage.(Anon_5),1,1,2,0,1,0,1,1,1,4,2,0,No Change
43,Public Class,com.android.camera.Exif,10,1,0,0,0,0,2,2,1,89,1,0,No Change
44,Public Class,com.android.camera.FocusManager,2,1,8,0,28,19,29,29,24,330,1,85,No Change
45,Public Interface,com.android.camera.FocusManager.Listener,0,0,0,1,7,0,7,7,7,9,0,0,No Change
46,Private Class,com.android.camera.FocusManager.MainHandler,2,1,2,0,1,0,1,1,1,12,2,0,No Change
47,Public Class,com.android.camera.IconListPreference,2,1,1,1,9,4,29,9,8,70,3,63,No Change
48,Public Class,com.android.camera.IntArray,1,1,0,0,3,2,3,3,3,23,1,16,No Change
49,Public Class,com.android.camera.ListPreference,1,1,1,1,16,7,20,16,14,106,2,80,No Change
50,Public Class,com.android.camera.LocationManager,4,1,2,0,5,5,5,5,3,134,1,52,No Change
51,Public Interface,com.android.camera.LocationManager.Listener,0,0,0,1,2,0,2,2,2,4,0,0,No Change
52,Private Class,com.android.camera.LocationManager.LocationListener,2,2,2,0,6,3,6,6,6,51,1,50,No Change
53,Public Class,com.android.camera.MenuHelper,1,1,4,0,0,0,10,10,8,107,1,0,No Change
54,Anonymous Class,com.android.camera.MenuHelper.addSwitchModeMenuItem.(Anon_1),1,1,1,0,1,0,1,1,1,5,2,0,No Change
55,Public Class,com.android.camera.ModePicker,2,4,4,0,15,13,15,15,8,187,2,78,No Change
56,Anonymous Class,com.android.camera.ModePicker.(Anon_1),1,1,1,0,3,0,3,3,3,10,2,0,No Change
57,Public Interface,com.android.camera.ModePicker.OnModeChangeListener,0,0,0,3,1,0,1,1,1,3,0,0,No Change
58,Public Annotation,com.android.camera.OnClickAttr,0,0,0,0,0,0,0,0,0,2,0,0,No Change
59,Public Class,com.android.camera.OnScreenHint,2,1,0,0,6,12,7,7,5,100,1,75,No Change
60,Anonymous Class,com.android.camera.OnScreenHint.(Anon_1),1,1,1,0,1,0,1,1,1,4,2,0,No Change
61,Anonymous Class,com.android.camera.OnScreenHint.(Anon_2),1,1,1,0,1,0,1,1,1,4,2,0,No Change
62,Public Class,com.android.camera.panorama.Mosaic,0,1,0,0,11,0,11,11,11,27,1,0,No Change
63,Public Class,com.android.camera.panorama.MosaicFrameProcessor,1,1,2,0,12,23,12,12,11,158,1,77,No Change
64,Public Interface,com.android.camera.panorama.MosaicFrameProcessor.ProgressListener,0,0,0,1,1,0,1,1,1,4,0,0,No Change
65,Public Class,com.android.camera.panorama.MosaicRenderer,0,1,0,0,0,0,7,7,7,14,1,0,No Change
66,Public Class,com.android.camera.panorama.MosaicRendererSurfaceView,1,1,4,0,14,3,15,15,10,270,2,82,No Change
67,Private Static Class,com.android.camera.panorama.MosaicRendererSurfaceView.ConfigChooser,2,2,1,0,6,7,6,6,3,161,1,69,No Change
68,Private Static Class,com.android.camera.panorama.MosaicRendererSurfaceView.ContextFactory,1,2,1,0,2,0,2,2,2,15,1,50,No Change
69,Anonymous Class,com.android.camera.panorama.MosaicRendererSurfaceView.preprocess.(Anon_2),1,1,2,0,1,0,1,1,1,5,2,0,No Change
70,Anonymous Class,com.android.camera.panorama.MosaicRendererSurfaceView.setReady.(Anon_1),1,1,2,0,1,0,1,1,1,5,2,0,No Change
71,Anonymous Class,com.android.camera.panorama.MosaicRendererSurfaceView.setWarping.(Anon_4),1,1,2,0,1,0,1,1,1,5,2,0,No Change
72,Anonymous Class,com.android.camera.panorama.MosaicRendererSurfaceView.transferGPUtoCPU.(Anon_3),1,1,2,0,1,0,1,1,1,6,2,0,No Change
73,Public Class,com.android.camera.panorama.MosaicRendererSurfaceViewRenderer,1,2,2,0,9,2,9,9,9,47,1,72,No Change
74,Public Interface,com.android.camera.panorama.MosaicRendererSurfaceViewRenderer.MosaicSurfaceCreateListener,0,0,0,1,2,0,2,2,2,4,0,0,No Change
75,Class,com.android.camera.panorama.PanoProgressBar,1,1,1,0,14,14,14,14,11,131,2,80,No Change
76,Public Interface,com.android.camera.panorama.PanoProgressBar.OnDirectionChangeListener,0,0,0,1,1,0,1,1,1,3,0,0,No Change
77,Public Class,com.android.camera.panorama.PanoramaActivity,2,5,25,0,57,59,71,58,20,868,3,95,No Change
78,Anonymous Class,com.android.camera.panorama.PanoramaActivity.addBaseMenuItems.(Anon_1),1,1,2,0,1,0,1,1,1,4,2,0,No Change
79,Anonymous Class,com.android.camera.panorama.PanoramaActivity.addBaseMenuItems.(Anon_2),1,1,2,0,1,0,1,1,1,4,2,0,No Change
80,Anonymous Class,com.android.camera.panorama.PanoramaActivity.createContentView.(Anon_10),2,2,1,0,1,0,1,1,1,7,1,0,No Change
81,Private Class,com.android.camera.panorama.PanoramaActivity.MosaicJpeg,1,1,0,0,2,4,2,2,2,18,1,0,No Change
82,Anonymous Class,com.android.camera.panorama.PanoramaActivity.onCreate.(Anon_3),8,1,2,0,1,0,1,1,1,42,2,0,No Change
83,Anonymous Class,com.android.camera.panorama.PanoramaActivity.onCreate.(Anon_3).handleMessage.(Anon_4),1,1,1,0,1,0,1,1,1,4,2,0,No Change
84,Anonymous Class,com.android.camera.panorama.PanoramaActivity.onFrameAvailable.(Anon_7),2,1,1,0,1,0,1,1,1,7,2,0,No Change
85,Anonymous Class,com.android.camera.panorama.PanoramaActivity.onMosaicSurfaceChanged.(Anon_5),2,1,1,0,1,0,1,1,1,7,2,0,No Change
86,Anonymous Class,com.android.camera.panorama.PanoramaActivity.onMosaicSurfaceCreated.(Anon_6),3,1,1,0,1,0,1,1,1,11,2,0,No Change
87,Private Class,com.android.camera.panorama.PanoramaActivity.PanoOrientationEventListener,2,1,2,0,2,0,2,2,2,16,2,0,No Change
88,Anonymous Class,com.android.camera.panorama.PanoramaActivity.reportProgress.(Anon_11),3,1,2,0,1,0,1,1,1,20,2,0,No Change
89,Anonymous Class,com.android.camera.panorama.PanoramaActivity.reportProgress.(Anon_11).run.(Anon_12),1,1,3,0,1,0,1,1,1,4,2,0,No Change
90,Anonymous Class,com.android.camera.panorama.PanoramaActivity.saveHighResMosaic.(Anon_13),4,1,4,0,1,0,1,1,1,32,2,0,No Change
91,Anonymous Class,com.android.camera.panorama.PanoramaActivity.startCapture.(Anon_8),2,2,1,0,1,0,1,1,1,17,1,0,No Change
92,Anonymous Class,com.android.camera.panorama.PanoramaActivity.stopCapture.(Anon_9),2,1,2,0,1,0,1,1,1,14,2,0,No Change
93,Public Class,com.android.camera.panorama.PanoUtil,5,1,0,0,0,0,3,3,3,57,1,0,No Change
94,Public Class,com.android.camera.PreferenceGroup,1,1,1,0,7,1,11,7,7,38,2,14,No Change
95,Public Class,com.android.camera.PreferenceInflater,3,1,2,0,4,1,4,4,2,62,1,0,No Change
96,Public Class,com.android.camera.PreviewFrameLayout,2,1,0,0,4,1,4,4,3,43,2,50,No Change
97,Public Interface,com.android.camera.PreviewFrameLayout.OnSizeChangedListener,0,0,0,0,1,0,1,1,1,3,0,0,No Change
98,Public Class,com.android.camera.RecordLocationPreference,1,1,0,0,2,1,32,3,3,20,4,33,No Change
99,Public Class,com.android.camera.RotateDialogController,1,2,1,0,9,13,9,9,6,106,1,70,No Change
100,Anonymous Class,com.android.camera.RotateDialogController.showAlertDialog.(Anon_1),2,1,1,0,1,0,1,1,1,6,2,0,No Change
101,Anonymous Class,com.android.camera.RotateDialogController.showAlertDialog.(Anon_2),2,1,1,0,1,0,1,1,1,6,2,0,No Change
102,Public Class,com.android.camera.ShutterButton,1,1,1,0,5,2,5,5,3,44,2,60,No Change
103,Anonymous Class,com.android.camera.ShutterButton.drawableStateChanged.(Anon_1),1,1,1,0,1,0,1,1,1,4,2,0,No Change
104,Public Interface,com.android.camera.ShutterButton.OnShutterButtonListener,0,0,0,3,2,0,2,2,0,4,0,0,No Change
105,Public Class,com.android.camera.Storage,3,1,0,0,0,0,4,4,4,83,1,0,No Change
106,Public Class,com.android.camera.Thumbnail,2,1,3,0,6,3,16,16,12,222,1,84,No Change
107,Private Static Class,com.android.camera.Thumbnail.Media,1,1,0,0,1,4,1,1,1,12,1,0,No Change
108,Public Abstract Class,com.android.camera.ui.AbstractIndicatorButton,2,2,5,2,14,8,25,14,11,117,4,79,No Change
109,Public Interface,com.android.camera.ui.AbstractIndicatorButton.IndicatorChangeListener,0,0,0,1,1,0,1,1,1,3,0,0,No Change
110,Private Class,com.android.camera.ui.AbstractIndicatorButton.MainHandler,2,1,1,0,1,0,1,1,1,10,2,0,No Change
111,Public Abstract Class,com.android.camera.ui.AbstractSettingPopup,1,1,0,3,3,2,8,3,2,14,3,50,No Change
112,Public Class,com.android.camera.ui.BasicSettingPopup,2,2,4,0,5,3,13,5,5,56,4,60,No Change
113,Public Interface,com.android.camera.ui.BasicSettingPopup.Listener,0,0,0,1,1,0,1,1,1,3,0,0,No Change
114,Public Class,com.android.camera.ui.CameraPicker,1,2,2,0,4,3,16,5,5,34,4,60,No Change
115,Public Class,com.android.camera.ui.ControlPanelLayout,4,1,0,0,2,0,2,2,1,44,2,0,No Change
116,Public Class,com.android.camera.ui.EffectSettingPopup,3,3,4,0,8,8,16,8,7,141,4,53,No Change
117,Public Interface,com.android.camera.ui.EffectSettingPopup.Listener,0,0,0,1,1,0,1,1,1,3,0,0,No Change
118,Public Class,com.android.camera.ui.ExpandedGridView,1,1,0,0,2,0,2,2,1,10,2,0,No Change
119,Public Class,com.android.camera.ui.FaceView,1,3,1,0,13,13,13,13,12,90,2,79,No Change
120,Public Interface,com.android.camera.ui.FocusIndicator,0,0,0,2,4,0,4,4,4,6,0,0,No Change
121,Public Class,com.android.camera.ui.FocusIndicatorView,1,2,0,0,6,0,6,6,5,24,2,0,No Change
122,Public Class,com.android.camera.ui.IndicatorButton,1,3,7,0,8,4,33,8,7,89,5,68,No Change
123,Public Interface,com.android.camera.ui.IndicatorButton.Listener,0,0,0,1,1,0,1,1,1,3,0,0,No Change
124,Public Abstract Class,com.android.camera.ui.IndicatorControl,2,4,12,4,17,7,17,17,15,150,2,82,No Change
125,Public Class,com.android.camera.ui.IndicatorControlBar,2,2,4,0,8,3,25,8,6,70,3,75,No Change
126,Public Class,com.android.camera.ui.IndicatorControlBarContainer,1,1,4,0,15,7,36,15,13,124,4,67,No Change
127,Anonymous Class,com.android.camera.ui.IndicatorControlBarContainer.(Anon_1),1,1,1,0,3,0,3,3,3,12,2,0,No Change
128,Public Abstract Class,com.android.camera.ui.IndicatorControlContainer,1,2,1,2,4,0,21,4,4,10,3,0,No Change
129,Public Class,com.android.camera.ui.IndicatorControlWheel,3,2,7,0,21,30,38,21,10,388,3,86,No Change
130,Anonymous Class,com.android.camera.ui.IndicatorControlWheel.(Anon_1),1,1,0,0,1,0,1,1,1,4,2,0,No Change
131,Public Class,com.android.camera.ui.IndicatorControlWheelContainer,1,1,4,0,18,5,39,18,15,134,4,71,No Change
132,Public Abstract Class,com.android.camera.ui.InLineSettingItem,1,1,3,3,8,4,8,8,5,44,2,71,No Change
133,Public Interface,com.android.camera.ui.InLineSettingItem.Listener,0,0,0,1,1,0,1,1,1,3,0,0,No Change
134,Public Class,com.android.camera.ui.InLineSettingKnob,1,1,2,0,6,10,14,6,4,99,3,80,No Change
135,Anonymous Class,com.android.camera.ui.InLineSettingKnob.(Anon_1),5,1,2,0,1,0,1,1,1,12,2,0,No Change
