,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
0,Public Class,com.android.music.AlbumBrowserActivity,2,4,6,0,20,13,20,20,15,523,2,86,No Change
1,Anonymous Class,com.android.music.AlbumBrowserActivity.(Anon_1),1,1,2,0,1,0,1,1,1,6,2,0,No Change
2,Anonymous Class,com.android.music.AlbumBrowserActivity.(Anon_2),2,1,2,0,1,0,1,1,1,9,2,0,No Change
3,Anonymous Class,com.android.music.AlbumBrowserActivity.(Anon_3),2,1,2,0,1,0,1,1,1,7,2,0,No Change
4,Static Class,com.android.music.AlbumBrowserActivity.AlbumListAdapter,1,2,5,0,11,16,11,11,9,149,2,83,No Change
5,Class,com.android.music.AlbumBrowserActivity.AlbumListAdapter.QueryHandler,1,1,2,0,2,0,2,2,0,9,2,0,No Change
6,Static Class,com.android.music.AlbumBrowserActivity.AlbumListAdapter.ViewHolder,0,1,0,0,0,4,0,0,0,6,1,0,No Change
7,Public Class,com.android.music.ArtistAlbumBrowserActivity,3,4,6,0,19,14,19,19,15,690,2,82,No Change
8,Anonymous Class,com.android.music.ArtistAlbumBrowserActivity.(Anon_1),1,1,2,0,1,0,1,1,1,6,2,0,No Change
9,Anonymous Class,com.android.music.ArtistAlbumBrowserActivity.(Anon_2),2,1,2,0,1,0,1,1,1,9,2,0,No Change
10,Anonymous Class,com.android.music.ArtistAlbumBrowserActivity.(Anon_3),2,1,2,0,1,0,1,1,1,7,2,0,No Change
11,Static Class,com.android.music.ArtistAlbumBrowserActivity.ArtistAlbumListAdapter,1,2,6,0,14,19,14,14,11,266,2,85,No Change
12,Class,com.android.music.ArtistAlbumBrowserActivity.ArtistAlbumListAdapter.getChildrenCursor.MyCursorWrapper,1,1,1,0,5,2,5,5,4,37,2,40,No Change
13,Class,com.android.music.ArtistAlbumBrowserActivity.ArtistAlbumListAdapter.QueryHandler,1,1,2,0,2,0,2,2,0,9,2,0,No Change
14,Static Class,com.android.music.ArtistAlbumBrowserActivity.ArtistAlbumListAdapter.ViewHolder,0,1,0,0,0,4,0,0,0,6,1,0,No Change
15,Public Class,com.android.music.AudioPreview,3,4,2,0,16,14,16,16,12,345,2,83,Lines Increased
16,Anonymous Class,com.android.music.AudioPreview.(Anon_2),8,1,1,0,1,0,1,1,1,27,2,0,No Change
17,Anonymous Class,com.android.music.AudioPreview.(Anon_3),1,1,1,0,3,0,3,3,3,16,2,0,No Change
18,Anonymous Class,com.android.music.AudioPreview.onCreate.(Anon_1),7,1,1,0,1,0,1,1,0,32,2,0,No Change
19,Private Static Class,com.android.music.AudioPreview.PreviewPlayer,1,2,1,0,4,2,4,4,3,23,2,37,No Change
20,Class,com.android.music.AudioPreview.ProgressRefresher,2,2,1,0,1,0,1,1,1,10,1,0,Lines Increased
21,Public Class,com.android.music.CheckableRelativeLayout,1,2,0,0,5,1,5,5,4,29,2,40,No Change
22,Public Class,com.android.music.CreatePlaylist,2,1,1,0,5,5,5,5,3,130,2,76,No Change
23,Anonymous Class,com.android.music.CreatePlaylist.(Anon_2),1,1,1,0,3,0,3,3,3,18,2,0,No Change
24,Anonymous Class,com.android.music.CreatePlaylist.(Anon_3),3,1,2,0,1,0,1,1,1,19,2,0,No Change
25,Anonymous Class,com.android.music.CreatePlaylist.onCreate.(Anon_1),1,1,0,0,1,0,1,1,1,4,2,0,No Change
26,Public Class,com.android.music.DeleteItems,1,1,0,0,1,4,1,1,1,33,2,0,No Change
27,Anonymous Class,com.android.music.DeleteItems.(Anon_2),1,1,2,0,1,0,1,1,1,5,2,0,No Change
28,Anonymous Class,com.android.music.DeleteItems.onCreate.(Anon_1),1,1,0,0,1,0,1,1,1,4,2,0,No Change
29,Public Class,com.android.music.MediaAppWidgetProvider,2,1,3,0,7,0,8,8,1,117,2,87,No Change
30,Public Class,com.android.music.MediaButtonIntentReceiver,18,1,1,0,1,0,1,1,1,100,2,0,No Change
31,Anonymous Class,com.android.music.MediaButtonIntentReceiver.(Anon_1),3,1,2,0,1,0,1,1,1,17,2,0,No Change
32,Public Class,com.android.music.MediaPickerActivity,3,2,4,0,6,6,6,6,4,206,2,66,No Change
33,Static Class,com.android.music.MediaPickerActivity.PickListAdapter,2,1,0,0,3,4,3,3,2,62,2,33,No Change
34,Public Class,com.android.music.MediaPlaybackActivity,5,4,11,0,32,49,32,32,14,1132,2,93,No Change
35,Anonymous Class,com.android.music.MediaPlaybackActivity.(Anon_1),2,1,1,0,1,0,1,1,1,14,2,0,No Change
36,Anonymous Class,com.android.music.MediaPlaybackActivity.(Anon_10),1,2,1,0,1,0,1,1,1,4,1,0,No Change
37,Anonymous Class,com.android.music.MediaPlaybackActivity.(Anon_11),2,1,2,0,2,0,2,2,2,28,2,0,No Change
38,Anonymous Class,com.android.music.MediaPlaybackActivity.(Anon_12),4,1,1,0,1,0,1,1,1,29,2,0,No Change
39,Anonymous Class,com.android.music.MediaPlaybackActivity.(Anon_12).handleMessage.(Anon_13),1,1,0,0,1,0,1,1,1,4,2,0,No Change
40,Anonymous Class,com.android.music.MediaPlaybackActivity.(Anon_14),3,1,2,0,1,0,1,1,1,12,2,0,No Change
41,Anonymous Class,com.android.music.MediaPlaybackActivity.(Anon_2),2,1,1,0,3,0,3,3,3,25,2,0,No Change
42,Anonymous Class,com.android.music.MediaPlaybackActivity.(Anon_3),1,1,0,0,1,0,1,1,1,8,2,0,No Change
43,Anonymous Class,com.android.music.MediaPlaybackActivity.(Anon_4),1,1,1,0,1,0,1,1,1,4,2,0,No Change
