,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
0,Public Class,com.android.nfc.BeamShareActivity,7,1,0,0,5,5,5,5,1,166,2,56,Lines Increased
1,Anonymous Class,com.android.nfc.BeamShareActivity.(Anon_4),3,1,1,0,1,0,1,1,1,12,2,0,No Change
2,Anonymous Class,com.android.nfc.BeamShareActivity.showNfcDialogAndExit.(Anon_1),1,1,0,0,1,0,1,1,1,5,2,0,No Change
3,Anonymous Class,com.android.nfc.BeamShareActivity.showNfcDialogAndExit.(Anon_2),2,1,1,0,1,0,1,1,1,9,2,0,No Change
4,Anonymous Class,com.android.nfc.BeamShareActivity.showNfcDialogAndExit.(Anon_3),1,1,0,0,1,0,1,1,1,5,2,0,No Change
5,Public Class,com.android.nfc.cardemulation.AidRoutingManager,5,1,1,0,9,6,9,9,5,120,1,52,Lines Increased
6,Public Class,com.android.nfc.cardemulation.AppChooserActivity,2,2,3,0,4,6,4,4,1,191,2,58,No Change
7,Anonymous Class,com.android.nfc.cardemulation.AppChooserActivity.(Anon_1),1,1,0,0,1,0,1,1,1,5,2,0,No Change
8,Class,com.android.nfc.cardemulation.AppChooserActivity.DisplayAppInfo,1,1,0,0,1,4,1,1,1,13,1,0,No Change
9,Class,com.android.nfc.cardemulation.AppChooserActivity.ListAdapter,2,1,3,0,5,3,5,5,5,66,2,46,No Change
10,Static Class,com.android.nfc.cardemulation.AppChooserActivity.ViewHolder,1,1,0,0,1,3,1,1,1,10,1,0,No Change
11,Public Class,com.android.nfc.cardemulation.CardEmulationManager,2,3,5,0,17,6,17,17,13,276,1,66,Lines Increased
12,Class,com.android.nfc.cardemulation.CardEmulationManager.CardEmulationInterface,1,1,5,0,11,0,11,11,11,105,2,0,No Change
13,Public Class,com.android.nfc.cardemulation.DefaultRemovedActivity,1,2,0,0,2,0,2,2,1,18,2,0,No Change
14,Public Class,com.android.nfc.cardemulation.PreferredServices,3,2,7,0,14,14,14,14,10,245,1,78,Lines Increased
15,Public Class,com.android.nfc.cardemulation.PreferredServices,3,2,7,0,14,14,14,14,10,245,1,78,Lines Increased
16,Public Interface,com.android.nfc.cardemulation.PreferredServices.Callback,0,0,0,0,2,0,2,2,0,4,0,0,Modified
17,Public Interface,com.android.nfc.cardemulation.PreferredServices.Callback,0,0,0,1,2,0,2,2,0,4,0,0,Modified
18,Class,com.android.nfc.cardemulation.PreferredServices.PaymentDefaults,0,1,0,0,0,3,0,0,0,5,1,0,No Change
19,Class,com.android.nfc.cardemulation.PreferredServices.PaymentDefaults,0,1,0,0,0,3,0,0,0,5,1,0,No Change
20,Private Class,com.android.nfc.cardemulation.PreferredServices.SettingsObserver,1,1,1,0,2,0,2,2,2,11,2,0,No Change
21,Private Class,com.android.nfc.cardemulation.PreferredServices.SettingsObserver,1,1,1,0,2,0,2,2,2,11,2,0,No Change
22,Public Class,com.android.nfc.cardemulation.RegisteredAidCache,5,1,5,0,18,10,19,19,10,435,1,81,Lines Increased
23,Class,com.android.nfc.cardemulation.RegisteredAidCache.AidResolveInfo,1,1,0,0,1,4,1,1,1,15,1,0,No Change
24,Class,com.android.nfc.cardemulation.RegisteredAidCache.DefaultServiceInfo,0,1,1,0,0,2,0,0,0,4,1,0,No Change
25,Class,com.android.nfc.cardemulation.RegisteredAidCache.PrefixConflicts,0,1,1,0,0,3,0,0,0,5,1,0,No Change
26,Class,com.android.nfc.cardemulation.RegisteredAidCache.ServiceAidInfo,2,1,0,0,3,3,3,3,3,30,1,0,No Change
27,Public Class,com.android.nfc.cardemulation.RegisteredServicesCache,4,1,3,0,17,6,17,17,10,433,1,81,Lines Increased
28,Public Interface,com.android.nfc.cardemulation.RegisteredServicesCache.Callback,0,0,0,1,1,0,1,1,0,3,0,0,No Change
29,Static Class,com.android.nfc.cardemulation.RegisteredServicesCache.DynamicAids,1,1,0,0,1,2,1,1,0,7,1,50,No Change
30,Anonymous Class,com.android.nfc.cardemulation.RegisteredServicesCache.RegisteredServicesCache.(Anon_1),6,1,1,0,1,0,1,1,1,21,2,0,No Change
31,Private Static Class,com.android.nfc.cardemulation.RegisteredServicesCache.UserServices,0,1,0,0,0,2,0,0,0,6,1,0,No Change
32,Public Class,com.android.nfc.cardemulation.TapAgainDialog,2,2,0,0,4,3,4,4,1,67,2,58,No Change
33,Anonymous Class,com.android.nfc.cardemulation.TapAgainDialog.(Anon_1),1,1,1,0,1,0,1,1,1,6,2,0,No Change
34,Public Class,com.android.nfc.ConfirmConnectToWifiNetworkActivity,1,3,1,0,7,5,7,7,2,110,2,65,Lines Increased
35,Anonymous Class,com.android.nfc.ConfirmConnectToWifiNetworkActivity.(Anon_3),4,1,1,0,1,0,1,1,1,16,2,0,No Change
36,Anonymous Class,com.android.nfc.ConfirmConnectToWifiNetworkActivity.doConnect.(Anon_2),1,1,1,0,2,0,2,2,2,10,2,0,No Change
37,Anonymous Class,com.android.nfc.ConfirmConnectToWifiNetworkActivity.onClick.(Anon_1),2,1,1,0,1,0,1,1,1,8,2,0,No Change
38,Public Class,com.android.nfc.echoserver.EchoServer,1,1,3,0,5,3,5,5,5,258,1,75,Lines Increased
39,Public Class,com.android.nfc.echoserver.EchoServer.ConnectionlessServerThread,4,2,5,0,4,4,4,4,4,66,2,50,Modified
40,Static Class,com.android.nfc.echoserver.EchoServer.EchoMachine,3,2,2,0,4,5,4,4,3,53,1,40,No Change
41,Public Class,com.android.nfc.echoserver.EchoServer.ServerThread,5,2,4,0,5,4,5,5,4,90,2,55,Modified
42,Public Interface,com.android.nfc.echoserver.EchoServer.WriteCallback,0,0,0,2,1,0,1,1,1,3,0,0,No Change
43,Public Class,com.android.nfc.FireflyRenderer,2,1,2,0,3,9,3,3,3,276,1,62,Class Deleted
44,Public Class,com.android.nfc.FireflyRenderer,2,1,3,0,3,9,3,3,3,276,1,62,Class Deleted
45,Private Class,com.android.nfc.FireflyRenderer.Firefly,1,1,1,0,4,7,4,4,3,45,1,42,Class Deleted
46,Private Class,com.android.nfc.FireflyRenderer.Firefly,1,1,1,0,4,7,4,4,3,45,1,42,Class Deleted
47,Private Class,com.android.nfc.FireflyRenderer.FireflyRenderThread,4,1,2,0,7,8,7,7,2,155,2,57,Class Deleted
48,Private Class,com.android.nfc.FireflyRenderer.FireflyRenderThread,4,1,2,0,7,8,7,7,2,155,2,57,Class Deleted
49,Public Class,com.android.nfc.ForegroundUtils,2,1,2,0,9,5,10,10,7,120,2,72,Lines Increased
50,Public Interface,com.android.nfc.ForegroundUtils.Callback,0,0,0,2,1,0,1,1,0,3,0,0,Modified
51,Private Static Class,com.android.nfc.ForegroundUtils.Singleton,0,1,1,0,0,0,0,0,0,3,1,0,No Change
52,Public Class,com.android.nfc.handover.BluetoothPeripheralHandover,5,2,2,0,16,18,17,17,5,428,1,72,Lines Increased
53,Public Class,com.android.nfc.handover.BluetoothPeripheralHandover,5,2,2,0,16,18,17,17,5,428,1,72,Lines Increased
54,Anonymous Class,com.android.nfc.handover.BluetoothPeripheralHandover.(Anon_1),4,1,1,0,1,0,1,1,1,14,2,0,No Change
55,Anonymous Class,com.android.nfc.handover.BluetoothPeripheralHandover.(Anon_1),4,1,1,0,1,0,1,1,1,14,2,0,No Change
56,Anonymous Class,com.android.nfc.handover.BluetoothPeripheralHandover.(Anon_2),1,1,1,0,1,0,1,1,1,5,2,0,No Change
57,Anonymous Class,com.android.nfc.handover.BluetoothPeripheralHandover.(Anon_2),1,1,1,0,1,0,1,1,1,5,2,0,No Change
