,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
0,Public Class,com.android.apps.tag.message.NdefMessageParser,2,1,9,0,1,0,4,4,3,29,1,0,Lines Increased
1,Public Class,com.android.apps.tag.message.ParsedNdefMessage,2,1,3,0,3,1,3,3,3,29,1,0,Lines Increased
2,Public Class,com.android.apps.tag.record.ImageRecord,1,1,0,0,2,1,7,5,4,39,2,60,Lines Increased
3,Public Class,com.android.apps.tag.record.MimeRecord,1,1,0,0,5,2,10,8,7,36,2,62,Lines Increased
4,Public Abstract Class,com.android.apps.tag.record.ParsedNdefRecord,1,1,0,7,2,0,2,2,2,6,1,0,Lines Increased
5,Public Class,com.android.apps.tag.record.RecordUtils,3,1,1,0,0,0,2,2,1,58,1,0,Lines Increased
6,Public Static Class,com.android.apps.tag.record.RecordUtils.ClickInfo,1,1,0,0,1,2,1,1,1,8,1,0,No Change
7,Public Class,com.android.apps.tag.record.SmartPoster,1,1,5,0,5,5,14,12,7,129,2,81,Lines Increased
9,Public Class,com.android.apps.tag.record.TextRecord,1,1,0,0,5,2,11,9,8,71,2,66,Lines Increased
10,Public Class,com.android.apps.tag.record.UnknownRecord,1,1,0,0,1,0,3,1,1,7,2,0,Lines Increased
11,Public Class,com.android.apps.tag.record.UriRecord,1,2,2,0,7,1,12,10,9,70,2,60,Lines Increased
12,Public Class,com.android.apps.tag.record.VCardRecord,1,2,3,0,6,1,12,10,7,87,2,80,Lines Increased
13,Anonymous Class,com.android.apps.tag.record.VCardRecord.getVCardEntries.(Anon_1),1,1,1,0,3,0,3,3,3,7,2,0,No Change
14,Public Class,com.android.apps.tag.TagViewer,2,2,3,0,5,1,5,5,2,60,2,60,Lines Increased
15,Public Class,com.android.phone.common.animation.AnimationListenerAdapter,1,2,0,0,3,0,3,3,3,10,1,0,Lines Increased
16,Public Class,com.android.phone.common.animation.AnimUtils,1,1,1,0,0,0,9,9,8,143,1,0,Lines Increased
17,Public Static Class,com.android.phone.common.animation.AnimUtils.AnimationCallback,1,1,0,0,2,0,2,2,2,4,1,0,No Change
18,Anonymous Class,com.android.phone.common.animation.AnimUtils.changeDimensions.(Anon_5),1,1,1,0,1,0,1,1,1,8,2,0,No Change
19,Anonymous Class,com.android.phone.common.animation.AnimUtils.fadeIn.(Anon_2),1,1,2,0,3,0,3,3,3,18,2,0,No Change
20,Anonymous Class,com.android.phone.common.animation.AnimUtils.fadeOut.(Anon_1),2,1,2,0,2,0,2,2,2,16,2,0,No Change
22,Anonymous Class,com.android.phone.common.animation.AnimUtils.scaleOut.(Anon_4),1,1,1,0,2,0,2,2,2,11,2,0,No Change
23,Public Class,com.android.phone.common.CallLogAsync,1,1,2,0,2,0,2,2,1,44,1,0,Lines Increased
24,Public Static Class,com.android.phone.common.CallLogAsync.GetLastOutgoingCallArgs,1,1,1,0,1,2,1,1,1,9,1,0,No Change
25,Private Class,com.android.phone.common.CallLogAsync.GetLastOutgoingCallTask,1,1,3,0,3,2,3,3,1,21,2,66,No Change
26,Public Interface,com.android.phone.common.CallLogAsync.OnLastOutgoingCallComplete,0,0,0,0,1,0,1,1,0,3,0,0,No Change
27,Public Class,com.android.phone.common.dialpad.DialpadKeyButton,2,1,1,0,13,9,13,13,9,130,2,83,Lines Increased
28,Anonymous Class,com.android.phone.common.dialpad.DialpadKeyButton.onHoverEvent.(Anon_1),1,1,1,0,1,0,1,1,1,6,2,0,No Change
29,Public Interface,com.android.phone.common.dialpad.DialpadKeyButton.OnPressedListener,0,0,0,0,1,0,1,1,1,3,0,0,No Change
30,Public Class,com.android.phone.common.dialpad.DialpadTextView,1,1,0,0,3,2,3,3,2,21,2,33,Lines Increased
31,Public Class,com.android.phone.common.dialpad.DialpadView,6,1,2,0,15,9,15,15,11,253,2,83,Lines Increased
33,Public Class,com.android.phone.common.dialpad.DigitsEditText,1,1,0,0,3,0,6,3,2,25,3,0,Lines Increased
34,Public Class,com.android.phone.common.HapticFeedback,2,1,0,0,3,7,3,3,3,42,1,38,Lines Increased
35,Public Class,com.android.phone.common.PhoneConstants,0,1,0,0,0,0,0,0,0,2,1,0,Lines Increased
36,Public Class,com.android.phone.common.util.SettingsUtil,6,1,0,0,0,0,2,2,2,53,1,0,Lines Increased
37,Public Class,com.android.phone.common.util.ViewUtil,1,1,0,0,1,0,6,6,5,42,1,0,Lines Increased
38,Anonymous Class,com.android.phone.common.util.ViewUtil.(Anon_1),1,1,0,0,1,0,1,1,1,5,2,0,No Change
39,Public Class,com.android.phone.common.widget.ResizingTextEditText,1,1,1,1,3,2,3,3,1,21,2,0,Lines Increased
40,Public Class,com.android.phone.common.widget.ResizingTextTextView,1,1,1,0,3,2,3,3,1,21,2,0,Lines Increased
41,Public Class,com.android.stk.BootCompletedReceiver,2,1,1,0,1,0,1,1,1,11,2,0,Lines Increased
42,Abstract Class,com.android.stk.StkApp,5,1,0,0,0,0,1,1,1,29,2,0,Lines Increased
43,Abstract Class,com.android.stk.StkAppInstaller,2,1,0,0,1,0,4,4,0,27,1,0,Lines Increased
44,Public Class,com.android.stk.StkAppService,4,2,8,0,28,15,29,29,5,749,2,87,Lines Increased
45,Private Class,com.android.stk.StkAppService.DelayedCmd,1,1,0,0,1,2,1,1,0,8,1,0,Lines Increased
46,Anonymous Class,com.android.stk.StkAppService.launchOpenChannelDialog.(Anon_1),1,1,1,0,1,0,1,1,1,10,2,0,Class Deleted
47,Anonymous Class,com.android.stk.StkAppService.launchOpenChannelDialog.(Anon_2),1,1,1,0,1,0,1,1,1,10,2,0,No Change
48,Anonymous Class,com.android.stk.StkAppService.launchTransientEventMessage.(Anon_3),1,1,0,0,1,0,1,1,1,3,2,0,Class Deleted
49,Private Class,com.android.stk.StkAppService.ServiceHandler,9,1,3,0,2,0,2,2,1,83,2,0,Lines Increased
50,Public Class,com.android.stk.StkCmdReceiver,2,1,1,0,4,0,4,4,1,41,2,0,Lines Increased
51,Public Class,com.android.stk.StkDialogActivity,1,2,2,0,14,3,14,14,7,142,2,73,Lines Increased
52,Anonymous Class,com.android.stk.StkDialogActivity.(Anon_1),2,1,2,0,1,0,1,1,1,10,2,0,Class Deleted
53,Public Class,com.android.stk.StkDigitsKeyListener,1,1,0,0,2,0,3,3,2,18,2,66,Lines Increased
54,Public Class,com.android.stk.StkInputActivity,2,3,3,0,19,8,19,19,11,215,2,85,Lines Increased
55,Anonymous Class,com.android.stk.StkInputActivity.(Anon_1),2,1,2,0,1,0,1,1,1,10,2,0,Class Deleted
56,Public Class,com.android.stk.StkLauncherActivity,1,1,1,0,1,0,1,1,0,9,2,0,Lines Increased
57,Public Class,com.android.stk.StkMenuActivity,2,2,3,0,21,9,21,21,10,271,2,82,Lines Increased
58,Anonymous Class,com.android.stk.StkMenuActivity.(Anon_1),2,1,2,0,1,0,1,1,1,10,2,0,Class Deleted
59,Public Class,com.android.stk.StkMenuAdapter,2,1,0,0,2,2,2,2,2,28,2,0,Lines Increased
60,Public Class,com.android.stk.ToneDialog,2,1,3,0,6,6,6,6,2,89,2,66,Lines Increased
61,Anonymous Class,com.android.stk.ToneDialog.(Anon_1),2,1,2,0,1,0,1,1,1,10,2,0,Class Deleted
62,Public Class,com.android.stk.TonePlayer,1,1,0,0,5,1,5,5,3,40,1,19,Lines Increased
