,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
0,Public Class,com.android.settings.accessibility.AccessibilitySettings,2,4,5,0,21,23,56,21,5,477,3,87,Lines Increased
1,Anonymous Class,com.android.settings.accessibility.AccessibilitySettings.(Anon_1),1,1,1,0,1,0,1,1,1,6,2,0,No Change
2,Anonymous Class,com.android.settings.accessibility.AccessibilitySettings.(Anon_2),1,1,1,0,5,0,5,5,4,20,2,0,No Change
3,Anonymous Class,com.android.settings.accessibility.AccessibilitySettings.(Anon_3),1,1,1,0,1,0,5,1,1,6,3,0,No Change
4,Anonymous Class,com.android.settings.accessibility.AccessibilitySettings.(Anon_4),1,1,1,0,1,0,1,1,1,5,2,0,No Change
5,Anonymous Class,com.android.settings.accessibility.AccessibilitySettings.(Anon_5),2,1,1,0,2,0,6,2,2,39,2,0,No Change
6,Class,com.android.settings.accessibility.AccessibilityUtils,2,1,1,0,0,0,2,2,0,34,1,0,Lines Decreased
7,Public Class,com.android.settings.accessibility.CaptionPropertiesFragment,2,3,9,0,17,20,53,18,8,318,3,80,Lines Increased
8,Anonymous Class,com.android.settings.accessibility.CaptionPropertiesFragment.onInstallSwitchBarToggleSwitch.(Anon_2),4,2,3,0,1,0,1,1,1,12,1,0,No Change
9,Anonymous Class,com.android.settings.accessibility.CaptionPropertiesFragment.onViewCreated.(Anon_1),1,1,1,0,1,0,1,1,1,6,2,0,No Change
10,Public Class,com.android.settings.accessibility.ColorPreference,2,1,0,0,6,2,23,6,3,83,3,75,Lines Decreased
11,Public Class,com.android.settings.accessibility.EdgeTypePreference,1,1,0,0,3,0,20,3,2,34,3,0,Lines Decreased
12,Public Abstract Class,com.android.settings.accessibility.ListDialogPreference,1,1,3,3,17,7,17,17,8,190,2,83,Lines Decreased
13,Private Class,com.android.settings.accessibility.ListDialogPreference.ListPreferenceAdapter,1,1,1,0,5,1,5,5,5,30,2,80,No Change
14,Anonymous Class,com.android.settings.accessibility.ListDialogPreference.onPrepareDialogBuilder.(Anon_1),3,1,1,0,1,0,1,1,1,11,2,0,No Change
15,Public Interface,com.android.settings.accessibility.ListDialogPreference.OnValueChangedListener,0,0,1,1,1,0,1,1,1,3,0,0,No Change
16,Private Static Class,com.android.settings.accessibility.ListDialogPreference.SavedState,1,1,0,0,3,1,3,3,3,26,2,33,No Change
17,Anonymous Class,com.android.settings.accessibility.ListDialogPreference.SavedState.(Anon_2),1,1,1,0,2,0,2,2,2,9,2,0,No Change
18,Public Class,com.android.settings.accessibility.LocalePreference,1,1,0,0,3,0,3,3,3,26,2,0,Lines Decreased
19,Public Class,com.android.settings.accessibility.PresetPreference,1,1,1,0,3,1,20,3,2,31,3,33,Lines Decreased
20,Abstract Class,com.android.settings.accessibility.SettingsContentObserver,1,1,0,2,4,0,4,4,4,16,2,0,Lines Decreased
21,Public Class,com.android.settings.accessibility.ToggleAccessibilityServicePreferenceFragment,3,2,6,0,13,4,60,13,7,278,4,82,Lines Increased
22,Anonymous Class,com.android.settings.accessibility.ToggleAccessibilityServicePreferenceFragment.(Anon_1),1,1,4,0,1,0,5,1,1,8,3,0,Lines Decreased
