,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
0,Public Class,com.android.emailcommon.internet.BinaryTempFileBody,1,2,4,0,4,1,4,4,4,38,1,0,No Change
1,Class,com.android.emailcommon.internet.BinaryTempFileBody.BinaryTempFileBodyInputStream,1,1,1,0,2,0,2,2,2,10,2,0,No Change
2,Public Class,com.android.emailcommon.internet.MimeBodyPart,1,1,6,0,20,4,21,20,19,133,2,83,No Change
3,Public Class,com.android.emailcommon.internet.MimeHeader,2,1,2,0,9,1,11,11,11,100,1,36,No Change
4,Private Static Class,com.android.emailcommon.internet.MimeHeader.Field,1,1,0,0,2,2,2,2,2,12,1,0,No Change
5,Public Class,com.android.emailcommon.internet.MimeMessage,1,1,14,0,39,12,68,40,35,467,2,92,No Change
6,Class,com.android.emailcommon.internet.MimeMessage.MimeMessageBuilder,1,2,10,0,15,1,15,15,14,118,1,33,No Change
7,Public Class,com.android.emailcommon.internet.MimeMultipart,1,1,4,0,10,4,19,10,10,68,2,67,No Change
8,Public Class,com.android.emailcommon.internet.MimeUtility,3,1,14,0,0,0,14,14,13,193,1,0,No Change
9,Public Class,com.android.emailcommon.internet.TextBody,1,2,1,0,4,1,4,4,4,23,1,0,No Change
10,Public Class,com.android.emailcommon.mail.Address,2,2,4,0,15,3,30,30,28,290,1,83,No Change
11,Anonymous Class,com.android.emailcommon.mail.Address.(Anon_1),1,1,1,0,2,0,2,2,2,9,2,0,No Change
12,Public Class,com.android.emailcommon.mail.AuthenticationFailedException,1,1,0,0,3,0,11,3,3,11,3,0,No Change
13,Public Class,com.android.emailcommon.mail.Base64Body,1,2,2,0,3,2,3,3,3,24,1,33,No Change
14,Public Interface,com.android.emailcommon.mail.Body,0,0,1,5,2,0,2,2,2,3,0,0,No Change
15,Public Abstract Class,com.android.emailcommon.mail.BodyPart,1,2,1,1,1,1,1,1,1,5,1,0,No Change
16,Public Class,com.android.emailcommon.mail.CertificateValidationException,1,1,0,0,2,0,10,2,2,8,3,0,No Change
18,Public Class,com.android.emailcommon.mail.FetchProfile,3,1,2,0,1,0,1,1,1,16,2,0,No Change
19,Public Abstract Class,com.android.emailcommon.mail.Folder,1,1,9,0,26,0,26,26,26,68,1,0,Modified
20,Public Interface,com.android.emailcommon.mail.Folder.MessageRetrievalListener,0,0,1,0,2,0,2,2,2,4,0,0,No Change
21,Public Interface,com.android.emailcommon.mail.Folder.MessageUpdateCallbacks,0,0,2,0,2,0,2,2,2,4,0,0,No Change
22,Public Class,com.android.emailcommon.mail.MeetingInfo,0,1,0,0,0,0,0,0,0,10,1,0,No Change
23,Public Abstract Class,com.android.emailcommon.mail.Message,1,3,4,1,28,4,28,28,27,79,1,87,Modified
24,Public Class,com.android.emailcommon.mail.MessageDateComparator,4,2,1,0,1,0,1,1,1,14,1,0,No Change
25,Public Class,com.android.emailcommon.mail.MessagingException,1,1,0,2,8,2,8,8,8,53,2,62,No Change
26,Public Abstract Class,com.android.emailcommon.mail.Multipart,1,2,3,1,9,3,9,9,9,31,1,66,No Change
27,Public Class,com.android.emailcommon.mail.PackedString,2,1,0,0,3,2,4,4,3,83,1,25,No Change
28,Public Static Class,com.android.emailcommon.mail.PackedString.Builder,1,1,1,0,5,1,5,5,5,32,1,0,No Change
29,Public Interface,com.android.emailcommon.mail.Part,0,1,2,2,15,0,15,15,15,16,1,0,No Change
30,Public Class,com.android.emailcommon.service.SearchParams,1,2,0,0,9,8,9,9,9,114,1,34,No Change
31,Anonymous Class,com.android.emailcommon.service.SearchParams.(Anon_1),1,1,1,0,2,0,2,2,2,9,2,0,No Change
32,Public Static Class,com.android.emailcommon.service.SearchParams.SearchParamsError,0,1,0,0,0,0,0,0,0,4,1,0,No Change
33,Public Class,com.android.emailcommon.TempDirectory,1,1,0,0,0,0,2,2,2,13,1,0,No Change
34,Public Class,com.android.emailcommon.utility.ConversionUtilities,5,1,5,0,0,0,2,2,1,50,1,0,No Change
35,Public Static Class,com.android.emailcommon.utility.ConversionUtilities.BodyFieldData,0,1,0,0,0,5,0,0,0,7,1,0,No Change
36,Public Class,com.android.emailcommon.utility.TextUtilities,8,1,1,0,0,0,9,9,7,540,1,0,No Change
37,Static Class,com.android.emailcommon.utility.TextUtilities.SearchTerm,1,1,0,0,1,5,1,1,0,12,1,40,No Change
38,Public Class,com.android.mail.adapter.DrawerItem,2,1,10,0,15,11,22,22,10,229,1,85,Class Deleted
39,Public Class,com.android.mail.adapter.DrawerItem,2,1,10,0,15,11,22,22,10,229,1,85,Class Deleted
40,Public Class,com.android.mail.analytics.Analytics,1,1,2,0,1,0,4,4,3,49,1,50,Lines Increased
41,Private Static Class,com.android.mail.analytics.Analytics.StubTracker,1,2,0,0,9,0,9,9,9,20,1,0,Lines Increased
42,Public Class,com.android.mail.analytics.AnalyticsTimer,1,1,2,0,5,1,6,6,5,34,1,50,No Change
43,Public Class,com.android.mail.analytics.AnalyticsUtils,28,1,0,0,0,0,2,2,2,130,1,0,Lines Decreased
44,Public Interface,com.android.mail.analytics.Tracker,0,0,0,1,9,0,9,9,0,10,0,0,Lines Increased
45,Public Class,com.android.mail.bitmap.AccountAvatarDrawable,1,2,2,0,15,10,15,15,11,136,2,83,Lines Decreased
46,Public Class,com.android.mail.bitmap.CheckableContactFlipDrawable,2,2,2,0,5,4,21,5,5,125,3,35,No Change
47,Private Static Class,com.android.mail.bitmap.CheckableContactFlipDrawable.CheckmarkDrawable,1,1,0,0,7,3,7,7,7,61,2,68,No Change
48,Public Class,com.android.mail.bitmap.ContactDrawable,1,2,2,0,18,11,21,21,13,192,2,88,Lines Decreased
49,Public Class,com.android.mail.bitmap.ContactRequest,1,2,0,0,10,3,10,10,9,98,1,66,No Change
