,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
0,Public Class,Main,1,1,0,0,0,0,1,1,1,173,1,0.0,Class Deleted
1,Public Class,Main,1,1,0,0,0,0,7,7,7,76,1,0.0,Class Deleted
2,Public Class,Main,1,1,0,0,0,0,5,5,5,157,1,0.0,Class Deleted
3,Public Class,Main.main.BluetoothMapFolderElement,2,1,0,0,17,5,19,19,18,158,1,81.0,Class Deleted
4,Public Class,com.android.bluetooth.Utils,1,1,0,0,0,0,17,17,17,152,1,0.0,Lines Increased
5,Class,com.android.bluetooth.avrcp.Avrcp.Metadata,1,1,0,0,2,3,2,2,2,14,1,0.0,No Change
6,Public Interface,com.android.bluetooth.btservice.ProfileService.IProfileServiceBinder,0,1,0,10,1,0,1,1,1,3,2,0.0,Modified
7,Class,com.android.bluetooth.gatt.AdvertiseClient,1,1,0,0,4,5,4,4,2,32,1,65.0,Lines Increased
8,Class,com.android.bluetooth.gatt.CallbackInfo,1,1,0,0,2,7,2,2,0,22,1,35.0,Lines Increased
9,Class,com.android.bluetooth.gatt.ContextMap.Connection,1,1,0,0,1,3,1,1,0,10,1,0.0,No Change
11,Class,com.android.bluetooth.gatt.GattService.ClientMap,0,1,0,0,0,0,13,0,0,1,2,0.0,Modified
12,Class,com.android.bluetooth.gatt.GattService.ServerMap,0,1,0,0,0,0,13,0,0,1,2,0.0,Modified
13,Class,com.android.bluetooth.gatt.GattServiceConfig,0,1,0,0,0,0,0,0,0,5,1,0.0,Lines Increased
14,Class,com.android.bluetooth.gatt.GattServiceConfig,0,1,0,0,0,0,0,0,0,6,1,0.0,Lines Increased
15,Class,com.android.bluetooth.gatt.ScanClient,1,1,0,0,7,7,7,7,2,48,1,83.0,Lines Increased
16,Class,com.android.bluetooth.gatt.ScanFilterQueue.Entry,2,1,0,0,2,10,2,2,2,35,1,0.0,No Change
17,Class,com.android.bluetooth.gatt.ScanManager.BatchScanParams,2,1,0,0,2,3,2,2,1,22,1,0.0,No Change
18,Class,com.android.bluetooth.gatt.SearchQueue.Entry,0,1,0,0,0,8,0,0,0,10,1,0.0,No Change
19,Private Class,com.android.bluetooth.hdp.HealthService.ChannelStateEvent,1,1,0,0,1,6,1,1,0,17,1,0.0,No Change
20,Private Class,com.android.bluetooth.hdp.HealthService.HealthChannel,1,1,0,0,1,6,1,1,0,17,1,0.0,No Change
21,Private Class,com.android.bluetooth.hfp.AtPhonebook.PhonebookResult,0,1,0,0,0,5,0,0,0,7,1,0.0,No Change
22,Public Class,com.android.bluetooth.hfp.BluetoothCmeError,0,1,0,0,0,0,0,0,0,24,1,0.0,No Change
23,Class,com.android.bluetooth.hfp.HeadsetCallState,1,1,0,0,1,5,1,1,1,14,1,0.0,No Change
24,Class,com.android.bluetooth.hfp.HeadsetClccResponse,1,1,0,0,1,7,1,1,1,19,1,0.0,No Change
25,Class,com.android.bluetooth.hfp.HeadsetDeviceState,1,1,0,0,1,4,1,1,0,12,1,0.0,No Change
26,Public Class,com.android.bluetooth.hfp.HeadsetHalConstants,0,1,0,0,0,0,0,0,0,27,1,0.0,Lines Increased
27,Class,com.android.bluetooth.hfp.HeadsetVendorSpecificResultCode,1,1,0,0,1,3,1,1,1,9,1,0.0,Lines Increased
28,Public Class,com.android.bluetooth.hfpclient.HeadsetClientHalConstants,0,1,0,0,0,0,0,0,0,85,1,0.0,Lines Increased
29,Public Class,com.android.bluetooth.map.BluetoothMapAppParams,2,1,0,0,61,25,61,61,59,663,1,96.0,Lines Increased
30,Private Class,com.android.bluetooth.map.BluetoothMapContent.FilterInfo,1,1,0,0,3,34,3,3,3,75,1,70.0,Lines Increased
31,Private Class,com.android.bluetooth.map.BluetoothMapContentObserver.Msg,2,1,0,0,4,7,4,4,4,38,1,75.0,Lines Increased
32,Private Class,com.android.bluetooth.map.BluetoothMapContentObserver.PushMsgInfo,1,1,0,0,1,13,1,1,1,28,1,23.0,No Change
33,Private Class,com.android.bluetooth.map.BluetoothMapEmailSettingsAdapter.ChildHolder,0,1,0,0,0,2,0,0,0,4,1,0.0,Class Deleted
