,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
0,Public Class,com.android.browser.AccountsChangedReceiver,1,1,1,0,1,0,1,1,1,50,2,0.0,No Change
1,Static Class,com.android.browser.AccountsChangedReceiver.DeleteRemovedAccounts,2,1,1,0,4,1,4,4,2,37,2,50.0,No Change
2,Public Interface,com.android.browser.ActivityController,0,0,0,2,28,0,28,28,0,30,0,0.0,No Change
3,Public Class,com.android.browser.addbookmark.FolderSpinner,1,2,1,0,7,2,7,7,7,43,2,64.0,No Change
4,Public Interface,com.android.browser.addbookmark.FolderSpinner.OnSetSelectionListener,0,0,0,1,1,0,1,1,1,3,0,0.0,No Change
5,Public Class,com.android.browser.addbookmark.FolderSpinnerAdapter,2,1,0,0,12,7,12,12,11,114,2,78.0,No Change
6,Public Class,com.android.browser.AddBookmarkPage,3,8,16,0,28,39,28,28,10,902,2,88.0,No Change
7,Anonymous Class,com.android.browser.AddBookmarkPage.(Anon_1),3,1,4,0,3,0,3,3,3,43,2,0.0,No Change
8,Static Class,com.android.browser.AddBookmarkPage.AccountsLoader,1,1,0,0,1,0,1,1,1,13,2,0.0,No Change
9,Public Static Class,com.android.browser.AddBookmarkPage.BookmarkAccount,1,1,1,0,2,4,2,2,2,21,1,37.0,No Change
10,Anonymous Class,com.android.browser.AddBookmarkPage.createHandler.(Anon_2),5,1,2,0,1,0,1,1,1,27,2,0.0,No Change
11,Public Static Class,com.android.browser.AddBookmarkPage.CustomListView,1,1,0,0,5,1,5,5,5,19,2,60.0,No Change
12,Static Class,com.android.browser.AddBookmarkPage.EditBookmarkInfo,0,1,0,0,0,10,0,0,0,12,1,0.0,No Change
13,Static Class,com.android.browser.AddBookmarkPage.EditBookmarkInfoLoader,3,1,2,0,3,2,3,3,2,88,2,33.0,No Change
14,Private Static Class,com.android.browser.AddBookmarkPage.Folder,1,1,0,0,1,2,1,1,0,8,1,0.0,No Change
15,Private Class,com.android.browser.AddBookmarkPage.FolderAdapter,1,1,1,0,4,0,4,4,4,23,2,0.0,No Change
16,Private Class,com.android.browser.AddBookmarkPage.SaveBookmarkRunnable,2,2,3,0,2,2,2,2,2,29,1,0.0,Modified
17,Private Static Class,com.android.browser.AddBookmarkPage.UpdateBookmarkTask,1,1,1,0,2,2,2,2,1,19,2,0.0,No Change
18,Class,com.android.browser.AddNewBookmark,1,1,0,0,2,1,2,2,0,13,2,0.0,No Change
19,Public Class,com.android.browser.AutoFillProfileDatabase,1,1,2,0,5,1,6,6,4,86,1,66.0,No Change
20,Private Static Class,com.android.browser.AutoFillProfileDatabase.AutoFillProfileDatabaseHelper,1,1,2,0,3,0,3,3,2,28,2,0.0,No Change
21,Public Static Class,com.android.browser.AutoFillProfileDatabase.Profiles,1,2,0,0,1,0,1,1,0,13,1,0.0,No Change
22,Public Class,com.android.browser.AutologinBar,1,3,3,0,10,8,10,10,7,102,2,70.0,No Change
23,Public Class,com.android.browser.BackgroundHandler,1,1,0,0,1,0,3,3,2,16,1,66.0,No Change
24,Public Abstract Class,com.android.browser.BaseUi,1,2,15,2,82,27,82,82,59,646,1,94.0,No Change
25,Anonymous Class,com.android.browser.BaseUi.(Anon_2),2,1,1,0,1,0,1,1,1,8,2,0.0,No Change
26,Anonymous Class,com.android.browser.BaseUi.createSubWindow.(Anon_1),1,1,2,0,1,0,1,1,1,5,2,0.0,No Change
27,Static Class,com.android.browser.BaseUi.FullscreenHolder,1,1,0,0,2,0,2,2,2,10,2,0.0,No Change
28,Class,com.android.browser.BookmarkItem,1,1,1,1,12,6,12,12,1,109,2,75.0,No Change
29,Public Class,com.android.browser.Bookmarks,3,1,1,0,0,0,7,7,1,128,1,0.0,No Change
30,Anonymous Class,com.android.browser.Bookmarks.updateFavicon.(Anon_1),1,1,1,0,2,0,2,2,0,19,2,0.0,No Change
31,Public Class,com.android.browser.BookmarkSearch,3,1,1,0,1,0,1,1,0,15,2,0.0,No Change
32,Public Class,com.android.browser.BookmarksLoader,1,1,0,0,2,2,3,3,2,41,2,33.0,No Change
33,Interface,com.android.browser.BookmarksPageCallbacks,0,0,0,2,2,0,2,2,0,4,0,0.0,No Change
34,Public Class,com.android.browser.BookmarkUtils,2,1,1,0,0,0,10,10,0,157,1,0.0,No Change
36,Anonymous Class,com.android.browser.BookmarkUtils.displayRemoveBookmarkDialog.(Anon_1),2,1,1,0,1,0,1,1,1,17,2,0.0,No Change
37,Anonymous Class,com.android.browser.BookmarkUtils.displayRemoveBookmarkDialog.(Anon_1).onClick.(Anon_2),1,1,1,0,1,0,1,1,1,8,2,0.0,No Change
38,Public Class,com.android.browser.BreadCrumbView,1,2,2,0,29,9,29,29,18,278,2,88.0,No Change
39,Public Interface,com.android.browser.BreadCrumbView.Controller,0,0,1,3,1,0,1,1,1,3,0,0.0,No Change
40,Class,com.android.browser.BreadCrumbView.Crumb,1,1,1,0,4,3,4,4,2,28,1,75.0,No Change
41,Public Class,com.android.browser.Browser,2,1,2,0,1,0,1,1,1,14,2,0.0,No Change
42,Public Class,com.android.browser.BrowserActivity,1,1,8,0,31,3,32,32,23,219,2,67.0,No Change
43,Public Class,com.android.browser.BrowserBackupAgent,4,1,1,0,5,0,5,5,2,135,2,0.0,No Change
44,Static Class,com.android.browser.BrowserBackupAgent.Bookmark,0,1,0,0,0,5,0,0,0,7,1,0.0,No Change
45,Public Class,com.android.browser.BrowserBookmarksAdapter,1,1,4,0,8,2,21,8,5,79,3,62.0,No Change
46,Public Class,com.android.browser.BrowserBookmarksAdapterItem,0,1,0,0,0,5,0,0,0,7,1,0.0,No Change
47,Public Class,com.android.browser.BrowserBookmarksPage,2,5,18,0,26,10,30,30,15,507,2,91.0,No Change
48,Anonymous Class,com.android.browser.BrowserBookmarksPage.(Anon_1),1,1,0,0,1,0,1,1,0,5,2,0.0,No Change
49,Anonymous Class,com.android.browser.BrowserBookmarksPage.(Anon_2),1,1,1,0,1,0,1,1,1,5,2,0.0,No Change
50,Static Class,com.android.browser.BrowserBookmarksPage.AccountsLoader,1,1,1,0,1,0,1,1,1,13,2,0.0,No Change
51,Private Static Class,com.android.browser.BrowserBookmarksPage.CombinedBookmarksCallbackWrapper,1,2,2,0,3,1,3,3,2,20,1,0.0,No Change
52,Public Static Class,com.android.browser.BrowserBookmarksPage.ExtraDragState,0,1,0,0,0,2,0,0,0,4,1,0.0,No Change
53,Private Static Class,com.android.browser.BrowserBookmarksPage.LookupBookmarkCount,2,1,2,0,3,2,3,3,1,35,2,16.0,No Change
54,Class,com.android.browser.BrowserBookmarksPage.OpenAllInTabsTask,2,1,4,0,3,1,3,3,1,25,2,33.0,No Change
55,Public Abstract Class,com.android.browser.BrowserDownloadListener,1,2,0,2,2,0,2,2,2,11,1,0.0,No Change
56,Public Class,com.android.browser.BrowserHistoryPage,2,3,11,0,18,14,18,18,11,511,2,88.0,No Change
57,Anonymous Class,com.android.browser.BrowserHistoryPage.(Anon_1),1,1,2,0,1,0,1,1,1,9,2,0.0,No Change
58,Anonymous Class,com.android.browser.BrowserHistoryPage.(Anon_2),1,1,4,0,1,0,1,1,1,6,2,0.0,No Change
59,Static Class,com.android.browser.BrowserHistoryPage.ClearHistoryTask,1,1,0,0,2,1,2,2,2,10,2,0.0,No Change
60,Private Class,com.android.browser.BrowserHistoryPage.HistoryAdapter,2,1,4,0,12,3,40,12,7,129,3,72.0,No Change
61,Private Static Class,com.android.browser.BrowserHistoryPage.HistoryChildWrapper,1,1,1,0,6,1,7,6,5,27,3,50.0,No Change
62,Private Static Class,com.android.browser.BrowserHistoryPage.HistoryGroupWrapper,1,1,1,0,5,0,6,5,5,21,3,0.0,No Change
63,Interface,com.android.browser.BrowserHistoryPage.HistoryQuery,0,0,0,0,0,0,0,0,0,18,0,0.0,No Change
64,Private Static Abstract Class,com.android.browser.BrowserHistoryPage.HistoryWrapper,1,1,1,2,1,2,1,1,1,19,2,0.0,No Change
65,Anonymous Class,com.android.browser.BrowserHistoryPage.HistoryWrapper.(Anon_4),1,1,0,0,2,0,2,2,2,11,2,0.0,No Change
66,Anonymous Class,com.android.browser.BrowserHistoryPage.promptToClearHistory.(Anon_3),2,1,1,0,1,0,1,1,1,7,2,0.0,No Change
67,Public Class,com.android.browser.BrowserPreferencesPage,2,1,3,0,5,1,5,5,5,59,2,60.0,Lines Increased
68,Public Class,com.android.browser.BrowserSettings,1,3,9,0,85,13,96,96,84,633,1,93.0,No Change
69,Anonymous Class,com.android.browser.BrowserSettings.(Anon_1),9,1,6,0,1,0,1,1,1,42,2,0.0,No Change
70,Public Class,com.android.browser.BrowserSnapshotPage,1,3,4,0,12,5,13,13,9,216,2,81.0,No Change
71,Anonymous Class,com.android.browser.BrowserSnapshotPage.deleteSnapshot.(Anon_1),1,1,1,0,1,0,1,1,1,5,2,0.0,No Change
72,Private Static Class,com.android.browser.BrowserSnapshotPage.SnapshotAdapter,2,1,1,0,4,3,4,4,4,78,2,58.0,No Change
73,Anonymous Class,com.android.browser.BrowserSnapshotPage.SnapshotAdapter.SnapshotAdapter.(Anon_2),1,1,1,0,4,0,4,4,4,15,2,0.0,No Change
74,Public Class,com.android.browser.BrowserWebView,1,1,3,0,17,5,17,17,15,86,2,87.0,No Change
75,Anonymous Class,com.android.browser.BrowserWebView.onDraw.(Anon_1),1,1,0,0,1,0,1,1,1,4,2,0.0,No Change
76,Public Interface,com.android.browser.BrowserWebView.OnScrollChangedListener,0,0,0,1,1,0,1,1,0,3,0,0.0,No Change
77,Public Class,com.android.browser.BrowserWebViewFactory,1,2,2,0,5,1,5,5,3,38,1,40.0,No Change
78,Class,com.android.browser.BrowserYesNoPreference,5,1,2,0,2,0,2,2,1,32,2,0.0,No Change
79,Public Interface,com.android.browser.CombinedBookmarksCallbacks,0,0,0,1,4,0,4,4,0,5,0,0.0,No Change
80,Public Class,com.android.browser.ComboViewActivity,1,2,6,0,8,2,9,9,6,172,2,88.0,No Change
81,Public Static Class,com.android.browser.ComboViewActivity.TabsAdapter,1,3,2,0,10,4,10,10,10,68,2,72.0,No Change
82,Static Class,com.android.browser.ComboViewActivity.TabsAdapter.TabInfo,1,1,0,0,1,2,1,1,0,8,1,0.0,No Change
83,Public Class,com.android.browser.Controller,2,4,37,0,141,30,145,145,100,1975,1,95.0,Lines Increased
84,Anonymous Class,com.android.browser.Controller.Controller.(Anon_1),2,1,3,0,1,0,1,1,1,8,2,0.0,No Change
85,Private Class,com.android.browser.Controller.Copy,1,2,1,0,2,1,2,2,2,11,1,0.0,No Change
86,Anonymous Class,com.android.browser.Controller.doStart.(Anon_2),1,1,1,0,1,0,1,1,1,5,2,0.0,No Change
87,Private Static Class,com.android.browser.Controller.Download,2,2,3,0,4,4,4,4,2,64,1,31.0,No Change
88,Anonymous Class,com.android.browser.Controller.getVisitedHistory.(Anon_5),1,1,1,0,2,0,2,2,2,9,2,0.0,No Change
89,Anonymous Class,com.android.browser.Controller.onCreateContextMenu.(Anon_6),1,1,1,0,1,0,1,1,1,13,2,0.0,No Change
90,Anonymous Class,com.android.browser.Controller.onCreateContextMenu.(Anon_7),1,1,4,0,1,0,1,1,1,9,2,0.0,No Change
91,Anonymous Class,com.android.browser.Controller.onCreateContextMenu.(Anon_8),1,1,1,0,1,0,1,1,1,8,2,0.0,No Change
92,Anonymous Class,com.android.browser.Controller.onCreateContextMenu.(Anon_9),1,1,2,0,1,0,1,1,1,6,2,0.0,Lines Increased
