,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
0,Public Class,com.android.calendar.AboutPreferences,2,1,0,0,1,0,1,1,1,15,2,0,No Change
1,Public Abstract Class,com.android.calendar.AbstractCalendarActivity,2,1,1,3,1,1,1,1,1,9,2,0,No Change
2,Public Class,com.android.calendar.agenda.AgendaAdapter,8,1,4,0,2,12,2,2,2,159,2,12,No Change
3,Anonymous Class,com.android.calendar.agenda.AgendaAdapter.(Anon_1),1,1,0,0,1,0,1,1,1,5,2,0,No Change
4,Static Class,com.android.calendar.agenda.AgendaAdapter.ViewHolder,0,1,1,0,0,11,0,0,0,16,1,0,No Change
5,Public Class,com.android.calendar.agenda.AgendaByDayAdapter,4,1,8,0,22,10,22,22,22,475,2,81,No Change
6,Anonymous Class,com.android.calendar.agenda.AgendaByDayAdapter.(Anon_1),1,1,2,0,1,0,1,1,1,7,2,0,No Change
7,Private Static Class,com.android.calendar.agenda.AgendaByDayAdapter.MultipleDayInfo,1,1,0,0,1,7,1,1,0,19,1,0,No Change
8,Private Static Class,com.android.calendar.agenda.AgendaByDayAdapter.RowInfo,1,1,0,0,2,9,2,2,0,34,1,0,No Change
9,Static Class,com.android.calendar.agenda.AgendaByDayAdapter.ViewHolder,0,1,0,0,0,4,0,0,0,6,1,0,No Change
10,Public Class,com.android.calendar.agenda.AgendaFragment,3,3,11,0,18,20,18,18,15,331,2,84,No Change
11,Anonymous Class,com.android.calendar.agenda.AgendaFragment.(Anon_1),1,1,2,0,1,0,1,1,1,6,2,0,No Change
12,Anonymous Class,com.android.calendar.agenda.AgendaFragment.onScroll.(Anon_2),1,1,4,0,1,0,1,1,1,8,2,0,No Change
13,Public Class,com.android.calendar.agenda.AgendaListView,2,2,12,0,24,10,24,24,18,317,2,82,No Change
14,Anonymous Class,com.android.calendar.agenda.AgendaListView.(Anon_1),1,1,2,0,1,0,1,1,1,6,2,0,No Change
15,Anonymous Class,com.android.calendar.agenda.AgendaListView.(Anon_2),1,1,2,0,1,0,1,1,1,6,2,0,No Change
16,Anonymous Class,com.android.calendar.agenda.AgendaListView.(Anon_3),2,1,1,0,1,0,1,1,1,8,2,0,No Change
17,Public Class,com.android.calendar.agenda.AgendaWindowAdapter,3,3,14,0,44,35,45,45,25,1073,2,94,No Change
18,Anonymous Class,com.android.calendar.agenda.AgendaWindowAdapter.(Anon_1),1,1,2,0,1,0,1,1,1,6,2,0,No Change
19,Anonymous Class,com.android.calendar.agenda.AgendaWindowAdapter.(Anon_2),1,1,0,0,1,0,1,1,1,5,2,0,No Change
20,Static Class,com.android.calendar.agenda.AgendaWindowAdapter.AgendaItem,0,1,0,0,0,5,0,0,0,7,1,0,No Change
21,Static Class,com.android.calendar.agenda.AgendaWindowAdapter.DayAdapterInfo,1,1,1,0,2,6,2,2,2,25,1,58,No Change
22,Private Class,com.android.calendar.agenda.AgendaWindowAdapter.QueryHandler,18,1,11,0,3,0,3,3,1,260,2,0,No Change
