,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
0,Public Class,com.android.contacts.activities.ActionBarAdapter,2,2,5,0,27,15,27,27,15,321,1,86,Lines Increased
1,Anonymous Class,com.android.contacts.activities.ActionBarAdapter.animateTabHeightChange.(Anon_4),1,1,1,0,1,0,1,1,1,6,2,0,Class Deleted
2,Public Interface,com.android.contacts.activities.ActionBarAdapter.Listener,0,0,0,1,3,0,3,3,0,10,0,0,Lines Increased
3,Public Abstract Class,com.android.contacts.activities.ActionBarAdapter.Listener.Action,0,1,0,0,0,0,0,0,0,5,1,0,Lines Increased
4,Private Class,com.android.contacts.activities.ActionBarAdapter.SearchTextWatcher,2,2,3,0,3,0,3,3,3,20,1,0,Lines Increased
5,Anonymous Class,com.android.contacts.activities.ActionBarAdapter.setupSearchView.(Anon_1),1,1,1,0,1,0,1,1,1,5,2,0,Class Deleted
6,Anonymous Class,com.android.contacts.activities.ActionBarAdapter.setupSearchView.(Anon_2),2,1,2,0,1,0,1,1,1,7,2,0,Class Deleted
7,Public Interface,com.android.contacts.activities.ActionBarAdapter.TabState,0,0,0,0,0,0,0,0,0,6,0,0,No Change
8,Anonymous Class,com.android.contacts.activities.ActionBarAdapter.update.(Anon_3),1,1,1,0,1,0,1,1,1,8,2,0,Class Deleted
9,Public Class,com.android.contacts.activities.AttachPhotoActivity,5,1,3,0,5,4,15,5,1,167,3,48,Lines Increased
10,Private Interface,com.android.contacts.activities.AttachPhotoActivity.Listener,0,0,0,1,1,0,1,1,1,3,0,0,Modified
11,Anonymous Class,com.android.contacts.activities.AttachPhotoActivity.loadContact.(Anon_2),2,1,2,0,1,0,1,1,1,12,2,0,Class Deleted
12,Anonymous Class,com.android.contacts.activities.AttachPhotoActivity.onActivityResult.(Anon_1),1,2,1,0,1,0,1,1,1,5,1,0,No Change
13,Public Class,com.android.contacts.activities.ConfirmAddDetailActivity,2,2,10,0,18,22,20,20,1,520,2,90,Lines Increased
14,Anonymous Class,com.android.contacts.activities.ConfirmAddDetailActivity.(Anon_1),2,1,1,0,1,0,1,1,1,9,2,0,No Change
15,Anonymous Class,com.android.contacts.activities.ConfirmAddDetailActivity.(Anon_2),1,1,1,0,1,0,1,1,1,5,2,0,No Change
16,Anonymous Class,com.android.contacts.activities.ConfirmAddDetailActivity.(Anon_3),1,1,0,0,1,0,1,1,1,6,2,0,No Change
17,Private Interface,com.android.contacts.activities.ConfirmAddDetailActivity.ContactQuery,0,0,0,0,0,5,0,0,0,12,0,0,No Change
18,Private Interface,com.android.contacts.activities.ConfirmAddDetailActivity.ExtraInfoQuery,0,0,0,0,0,4,0,0,0,10,0,0,No Change
19,Private Static Class,com.android.contacts.activities.ConfirmAddDetailActivity.PersistTask,3,1,1,0,4,2,4,4,1,61,2,25,No Change
20,Private Interface,com.android.contacts.activities.ConfirmAddDetailActivity.PhotoQuery,0,0,0,0,0,2,0,0,0,6,0,0,No Change
21,Private Static Class,com.android.contacts.activities.ConfirmAddDetailActivity.QueryEntitiesTask,3,1,1,0,3,2,4,4,1,66,2,50,No Change
22,Private Class,com.android.contacts.activities.ConfirmAddDetailActivity.QueryHandler,10,1,4,0,2,0,2,2,1,91,2,0,Lines Increased
23,Public Class,com.android.contacts.activities.ContactEditorAccountsChangedActivity,3,1,1,0,3,4,3,3,0,102,2,50,No Change
24,Anonymous Class,com.android.contacts.activities.ContactEditorAccountsChangedActivity.(Anon_1),2,1,1,0,1,0,1,1,1,8,2,0,No Change
25,Anonymous Class,com.android.contacts.activities.ContactEditorAccountsChangedActivity.(Anon_2),1,1,2,0,1,0,1,1,1,6,2,0,No Change
26,Anonymous Class,com.android.contacts.activities.ContactEditorAccountsChangedActivity.onCreate.(Anon_3),1,1,1,0,1,0,1,1,1,5,2,0,No Change
27,Anonymous Class,com.android.contacts.activities.ContactEditorAccountsChangedActivity.onCreate.(Anon_4),1,1,2,0,1,0,1,1,1,7,2,0,No Change
28,Public Class,com.android.contacts.activities.ContactEditorActivity,3,2,5,0,5,4,15,5,3,178,3,65,Lines Decreased
29,Anonymous Class,com.android.contacts.activities.ContactEditorActivity.(Anon_2),1,2,3,0,8,0,8,8,8,86,1,0,Class Deleted
30,Anonymous Class,com.android.contacts.activities.ContactEditorActivity.onCreate.(Anon_1),1,1,2,0,1,0,1,1,1,5,2,0,Class Deleted
31,Public Class,com.android.contacts.activities.ContactSelectionActivity,3,6,13,0,25,7,35,25,15,482,3,85,Lines Increased
32,Private Class,com.android.contacts.activities.ContactSelectionActivity.ContactPickerActionListener,2,2,2,0,5,0,5,5,4,52,1,0,Lines Increased
33,Private Class,com.android.contacts.activities.ContactSelectionActivity.EmailAddressPickerActionListener,1,2,1,0,1,0,1,1,1,7,1,0,No Change
34,Private Class,com.android.contacts.activities.ContactSelectionActivity.JoinContactActionListener,1,2,0,0,4,0,4,4,4,17,1,0,No Change
35,Private Class,com.android.contacts.activities.ContactSelectionActivity.PhoneNumberPickerActionListener,1,2,1,0,5,0,5,5,5,22,1,0,No Change
