,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
0,Public Class,com.android.email.activity.ComposeActivityEmail,2,2,1,0,3,0,3,3,3,40,2,0,No Change
1,Public Class,com.android.email.activity.ContactStatusLoader,1,1,1,0,5,2,6,6,3,88,2,66,No Change
2,Public Static Class,com.android.email.activity.ContactStatusLoader.Result,1,1,1,0,2,3,2,2,2,14,1,33,No Change
3,Public Class,com.android.email.activity.EventViewer,7,1,0,0,1,0,1,1,1,50,2,0,No Change
4,Public Class,com.android.email.activity.InsertQuickResponseDialog,2,1,1,0,3,0,4,4,3,87,2,0,No Change
5,Public Interface,com.android.email.activity.InsertQuickResponseDialog.Callback,0,0,0,1,1,0,1,1,1,3,0,0,No Change
6,Anonymous Class,com.android.email.activity.InsertQuickResponseDialog.onCreateDialog.(Anon_1),1,1,2,0,1,0,1,1,1,9,2,0,No Change
7,Anonymous Class,com.android.email.activity.InsertQuickResponseDialog.onCreateDialog.(Anon_2),1,1,1,0,3,0,3,3,3,14,2,0,No Change
8,Anonymous Class,com.android.email.activity.InsertQuickResponseDialog.onCreateDialog.(Anon_3),1,1,0,0,1,0,1,1,1,5,2,0,No Change
9,Public Class,com.android.email.activity.setup.AccountCheckSettingsFragment,2,1,7,0,9,6,12,12,8,306,2,80,Lines Increased
10,Private Static Class,com.android.email.activity.setup.AccountCheckSettingsFragment.AccountCheckTask,6,1,7,0,4,8,4,4,1,131,2,46,Lines Increased
11,Public Static Class,com.android.email.activity.setup.AccountCheckSettingsFragment.AutoDiscoverResults,2,1,0,0,1,1,1,1,1,12,2,0,No Change
12,Public Interface,com.android.email.activity.setup.AccountCheckSettingsFragment.Callback,0,0,0,2,4,0,4,4,0,6,0,0,No Change
13,Public Class,com.android.email.activity.setup.AccountCreationFragment,1,1,3,0,9,3,10,10,7,240,2,80,No Change
14,Private Class,com.android.email.activity.setup.AccountCreationFragment.AfterAccountSecurityCallbacks,1,2,1,0,3,0,3,3,3,42,1,0,No Change
15,Anonymous Class,com.android.email.activity.setup.AccountCreationFragment.AfterAccountSecurityCallbacks.onCreateLoader.(Anon_4),1,1,5,0,2,0,2,2,1,12,2,0,Modified
16,Anonymous Class,com.android.email.activity.setup.AccountCreationFragment.AfterAccountSecurityCallbacks.onLoadFinished.(Anon_5),3,1,4,0,1,0,1,1,1,16,2,0,Modified
17,Private Class,com.android.email.activity.setup.AccountCreationFragment.BeforeAccountSecurityCallbacks,1,2,2,0,4,0,4,4,4,67,1,0,No Change
18,Anonymous Class,com.android.email.activity.setup.AccountCreationFragment.BeforeAccountSecurityCallbacks.onCreateLoader.(Anon_1),3,1,4,0,2,0,2,2,1,30,2,0,Modified
19,Anonymous Class,com.android.email.activity.setup.AccountCreationFragment.BeforeAccountSecurityCallbacks.onLoadFinished.(Anon_2),2,1,2,0,1,0,1,1,1,9,2,0,No Change
20,Public Interface,com.android.email.activity.setup.AccountCreationFragment.Callback,0,0,0,1,4,0,4,4,0,6,0,0,No Change
21,Private Class,com.android.email.activity.setup.AccountCreationFragment.RefreshAccountCallbacks,1,2,2,0,3,0,3,3,3,33,1,0,Modified
