,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
0,Public Class,Compile,7,1,2,0,0,0,1,1,1,34,1,0,No Change
1,Class,LoadClass,4,1,3,0,0,0,2,2,1,45,1,0,No Change
2,Anonymous Class,MemoryUsage.MeasureWithTimeout.measure.(Anon_1),1,1,2,0,1,0,1,1,1,5,2,0,No Change
3,Public Class,Policy,1,1,1,0,1,0,3,3,2,38,1,0,No Change
4,Public Class,PrintCsv,3,1,5,0,0,0,3,3,1,82,1,0,No Change
5,Public Class,PrintHtmlDiff,8,1,5,0,0,0,2,2,1,96,1,0,No Change
6,Public Class,PrintPsTree,4,1,2,0,0,0,1,1,1,18,1,0,No Change
7,Public Class,WritePreloadedClassFile,6,1,5,0,0,0,3,3,1,80,1,0,No Change
8,Public Interface,android.accessibilityservice.AccessibilityService.Callbacks,0,0,2,2,6,0,6,6,6,8,0,0,Modified
9,Anonymous Class,android.accessibilityservice.AccessibilityService.onBind.(Anon_1),1,2,3,0,6,0,6,6,6,25,1,0,Lines Increased
10,Anonymous Class,android.accessibilityservice.AccessibilityServiceInfo.(Anon_1),1,2,2,0,2,0,2,2,2,9,1,0,No Change
11,Public Static Class,android.accessibilityservice.AccessibilityServiceInfo.CapabilityInfo,1,1,0,0,1,3,1,1,1,10,1,0,No Change
12,Private Class,android.accounts.AbstractAccountAuthenticator.Transport,4,1,8,0,10,0,10,10,10,185,2,0,Lines Increased
13,Anonymous Class,android.accounts.AbstractAccountAuthenticator.addAccountFromCredentials.(Anon_2),1,1,4,0,1,0,1,1,1,6,2,0,Lines Increased
14,Anonymous Class,android.accounts.AbstractAccountAuthenticator.getAccountCredentialsForCloning.(Anon_1),1,1,4,0,1,0,1,1,1,6,2,0,Lines Increased
15,Anonymous Class,android.accounts.Account.(Anon_1),1,2,2,0,2,0,2,2,2,7,1,0,No Change
16,Public Class,android.accounts.AccountAndUser,1,1,1,0,4,2,4,4,4,22,1,0,No Change
17,Anonymous Class,android.accounts.AccountAuthenticatorResponse.(Anon_1),1,2,2,0,2,0,2,2,2,7,1,0,No Change
18,Anonymous Class,android.accounts.AccountManager.(Anon_21),2,1,4,0,1,0,24,1,1,10,2,0,Class Deleted
19,Anonymous Class,android.accounts.AccountManager.AmsTask.AmsTask.(Anon_16),1,1,1,0,1,0,1,1,1,4,2,0,Class Deleted
20,Private Class,android.accounts.AccountManager.AmsTask.Response,3,1,7,0,2,0,2,2,2,23,2,0,Modified
21,Anonymous Class,android.accounts.AccountManager.BaseFutureTask.BaseFutureTask.(Anon_17),1,1,1,0,1,0,1,1,1,4,2,0,Class Deleted
22,Protected Class,android.accounts.AccountManager.BaseFutureTask.Response,3,1,4,0,2,0,2,2,2,23,2,0,No Change
25,Anonymous Class,android.accounts.AccountManager.Future2Task.done.(Anon_18),1,1,2,0,1,0,1,1,1,4,2,0,Class Deleted
26,Anonymous Class,android.accounts.AccountManager.GetAuthTokenByTypeAndFeaturesTask.doWork.(Anon_19),11,2,15,0,1,0,1,1,1,74,1,0,Class Deleted
27,Anonymous Class,android.accounts.AccountManager.GetAuthTokenByTypeAndFeaturesTask.doWork.(Anon_19).run.(Anon_20),1,1,7,0,2,0,2,2,2,12,2,0,Class Deleted
28,Anonymous Class,android.accounts.AccountManager.addAccount.(Anon_9),1,1,2,0,1,0,9,1,1,5,3,0,Class Deleted
29,Anonymous Class,android.accounts.AccountManager.addAccountAsUser.(Anon_10),1,1,3,0,1,0,9,1,1,5,3,0,Class Deleted
30,Anonymous Class,android.accounts.AccountManager.confirmCredentialsAsUser.(Anon_11),1,1,2,0,1,0,9,1,1,5,3,0,Class Deleted
31,Anonymous Class,android.accounts.AccountManager.editProperties.(Anon_13),1,1,2,0,1,0,9,1,1,4,3,0,Class Deleted
32,Anonymous Class,android.accounts.AccountManager.getAccountsByTypeAndFeatures.(Anon_3),2,1,7,0,2,0,13,2,2,15,4,0,Lines Increased
33,Anonymous Class,android.accounts.AccountManager.getAuthToken.(Anon_7),1,1,2,0,1,0,9,1,1,6,3,0,Class Deleted
34,Anonymous Class,android.accounts.AccountManager.getAuthToken.(Anon_8),1,1,2,0,1,0,9,1,1,5,3,0,Class Deleted
35,Anonymous Class,android.accounts.AccountManager.getAuthTokenLabel.(Anon_1),1,1,5,0,2,0,13,2,2,11,4,0,No Change
36,Anonymous Class,android.accounts.AccountManager.hasFeatures.(Anon_2),1,1,5,0,2,0,13,2,2,10,4,0,Modified
37,Anonymous Class,android.accounts.AccountManager.postToHandler.(Anon_14),1,1,2,0,1,0,1,1,1,4,2,0,Class Deleted
38,Anonymous Class,android.accounts.AccountManager.postToHandler.(Anon_15),2,1,4,0,1,0,1,1,1,8,2,0,Class Deleted
39,Anonymous Class,android.accounts.AccountManager.removeAccount.(Anon_5),1,1,5,0,2,0,13,2,2,10,4,0,Lines Increased
40,Anonymous Class,android.accounts.AccountManager.removeAccountAsUser.(Anon_6),1,1,6,0,2,0,13,2,2,10,4,0,Class Deleted
41,Anonymous Class,android.accounts.AccountManager.renameAccount.(Anon_4),1,1,6,0,2,0,13,2,2,11,4,0,No Change
42,Anonymous Class,android.accounts.AccountManager.updateCredentials.(Anon_12),1,1,2,0,1,0,9,1,1,5,3,0,Class Deleted
43,Public Generic Interface,android.accounts.AccountManagerCallback,0,0,1,5,1,0,1,1,0,2,0,0,Modified
45,Public Generic Interface,android.accounts.AccountManagerFuture,0,0,2,3,5,0,5,5,0,7,0,0,No Change
47,Anonymous Class,android.accounts.AccountManagerResponse.(Anon_1),1,2,2,0,2,0,2,2,2,7,1,0,No Change
48,Public Class,android.accounts.AccountsException,1,1,0,3,4,0,4,4,4,13,2,0,No Change
49,Anonymous Class,android.accounts.AuthenticatorDescription.(Anon_1),1,2,2,0,2,0,2,2,2,7,1,0,No Change
50,Public Class,android.accounts.AuthenticatorException,1,1,0,0,4,0,8,4,4,14,3,0,No Change
51,Public Class,android.accounts.CantAddAccountActivity,1,1,2,0,2,0,507,2,2,11,5,0,Modified
52,Private Static Class,android.accounts.ChooseAccountActivity.AccountArrayAdapter,1,1,8,0,2,2,40,2,2,26,3,0,Modified
53,Private Static Class,android.accounts.ChooseAccountActivity.AccountInfo,1,1,1,0,1,2,1,1,0,8,1,0,No Change
54,Private Static Class,android.accounts.ChooseAccountActivity.ViewHolder,0,1,2,0,0,2,0,0,0,4,1,0,No Change
55,Anonymous Class,android.accounts.ChooseAccountActivity.onCreate.(Anon_1),1,2,4,0,1,0,1,1,1,4,1,0,No Change
56,Private Static Class,android.accounts.ChooseAccountTypeActivity.AccountArrayAdapter,1,1,7,0,2,2,40,2,2,27,3,0,Modified
57,Private Static Class,android.accounts.ChooseAccountTypeActivity.AuthInfo,1,1,2,0,1,3,1,1,0,10,1,0,No Change
58,Private Static Class,android.accounts.ChooseAccountTypeActivity.ViewHolder,0,1,2,0,0,2,0,0,0,4,1,0,No Change
59,Anonymous Class,android.accounts.ChooseAccountTypeActivity.onCreate.(Anon_1),1,2,3,0,1,0,1,1,1,4,1,0,No Change
60,Anonymous Class,android.accounts.ChooseTypeAndAccountActivity.populateUIAccountList.(Anon_1),1,2,4,0,1,0,1,1,1,6,1,0,No Change
61,Anonymous Class,android.accounts.GrantCredentialsPermissionActivity.onCreate.(Anon_1),5,2,5,0,1,0,1,1,1,19,1,0,No Change
62,Anonymous Class,android.accounts.GrantCredentialsPermissionActivity.onCreate.(Anon_1).run.(Anon_2),2,1,4,0,1,0,1,1,1,7,2,0,No Change
63,Public Class,android.accounts.NetworkErrorException,1,1,0,0,4,0,8,4,4,13,3,0,No Change
64,Public Interface,android.accounts.OnAccountsUpdateListener,0,0,1,0,1,0,1,1,0,3,0,0,No Change
65,Public Class,android.accounts.OperationCanceledException,1,1,0,0,4,0,8,4,4,14,3,0,No Change
66,Public Class,android.alsa.LineTokenizer,3,1,0,0,3,1,3,3,1,27,1,0,Class Deleted
67,Public Interface,android.animation.Animator.AnimatorListener,0,0,1,12,4,0,4,4,0,6,0,0,Modified
68,Public Interface,android.animation.Animator.AnimatorPauseListener,0,0,1,1,2,0,2,2,0,4,0,0,Modified
69,Public Class,android.animation.AnimatorInflater,6,1,28,0,0,0,13,13,4,424,1,0,Lines Increased
70,Public Abstract Class,android.animation.AnimatorListenerAdapter,1,3,1,146,6,0,6,6,6,21,1,0,Modified
71,Private Static Class,android.animation.AnimatorSet.Dependency,1,1,1,0,1,2,1,1,1,10,1,0,No Change
72,Anonymous Class,android.animation.AnimatorSet.start.(Anon_1),2,1,3,0,2,1,8,2,2,16,2,0,No Change
73,Anonymous Class,android.animation.AnimatorSetEventsTest.testPlayingCancelDuringChildDelay.(Anon_1),2,1,7,0,1,0,1,1,1,13,2,0,No Change
74,Public Class,android.animation.ArgbEvaluator,1,2,0,0,1,0,2,2,2,21,1,0,No Change
75,Anonymous Class,android.animation.AutoCancelTest.(Anon_8),1,1,2,0,1,0,7,1,1,5,2,0,No Change
76,Anonymous Class,android.animation.AutoCancelTest.setupAnimators.(Anon_1),2,1,3,0,1,0,7,1,1,11,2,0,No Change
77,Anonymous Class,android.animation.AutoCancelTest.setupAnimators.(Anon_2),1,1,3,0,2,0,8,2,2,14,2,0,No Change
78,Anonymous Class,android.animation.AutoCancelTest.setupAnimators.(Anon_3),1,1,2,0,1,0,1,1,1,6,2,0,No Change
79,Anonymous Class,android.animation.AutoCancelTest.testAutoCancel.(Anon_4),2,1,2,0,1,0,1,1,1,9,2,0,No Change
80,Anonymous Class,android.animation.AutoCancelTest.testAutoCancelDelayed.(Anon_5),2,1,2,0,1,0,1,1,1,9,2,0,No Change
81,Anonymous Class,android.animation.AutoCancelTest.testAutoCancelDelayedTestLater.(Anon_7),2,1,2,0,1,0,1,1,1,9,2,0,No Change
82,Anonymous Class,android.animation.AutoCancelTest.testAutoCancelTestLater.(Anon_6),2,1,2,0,1,0,1,1,1,9,2,0,No Change
83,Public Class,android.animation.BasicAnimatorActivity,1,1,1,0,1,0,506,1,0,7,5,0,Lines Increased
84,Private Static Generic Class,android.animation.BidirectionalTypeConverter.InvertedConverter,1,1,0,0,3,1,10,3,3,15,3,0,No Change
89,Protected Static Class,android.animation.EventsTest.Canceler,1,2,2,0,2,2,2,2,2,16,1,0,No Change
90,Static Class,android.animation.EventsTest.Ender,1,2,2,0,2,2,2,2,2,16,1,0,No Change
91,Anonymous Class,android.animation.EventsTest.FutureReleaseListener.FutureReleaseListener.(Anon_1),1,1,2,0,1,0,1,1,1,5,2,0,No Change
92,Anonymous Class,android.animation.EventsTest.FutureReleaseListener.onAnimationEnd.(Anon_2),1,1,2,0,1,0,1,1,1,5,2,0,No Change
93,Static Class,android.animation.EventsTest.Pauser,1,2,2,0,2,2,2,2,2,16,1,0,No Change
94,Static Class,android.animation.EventsTest.Resumer,1,2,2,0,2,2,2,2,2,16,1,0,No Change
95,Anonymous Class,android.animation.EventsTest.setUp.(Anon_3),1,1,2,0,3,0,9,3,3,20,2,0,No Change
96,Anonymous Class,android.animation.EventsTest.testPauseResume.(Anon_18),2,1,6,0,1,0,1,1,1,15,2,0,No Change
97,Anonymous Class,android.animation.EventsTest.testPauseResumeDelayed.(Anon_19),2,1,6,0,1,0,1,1,1,15,2,0,No Change
98,Anonymous Class,android.animation.EventsTest.testPauseTimeout.(Anon_20),2,1,5,0,1,0,1,1,1,13,2,0,No Change
99,Anonymous Class,android.animation.EventsTest.testPauseTimeoutDelayed.(Anon_21),2,1,5,0,1,0,1,1,1,13,2,0,No Change
100,Anonymous Class,android.animation.EventsTest.testPlayingCancel.(Anon_8),2,1,5,0,1,0,1,1,1,13,2,0,No Change
