,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
0,Public Class,android.util.Pools,1,1,0,0,1,0,1,1,0,67,1,0,No Change
1,Public Generic Interface,android.util.Pools.Pool,0,0,0,1,2,0,2,2,2,4,0,0,No Change
3,Public Static Generic Class,android.util.Pools.SimplePool,2,2,0,1,4,2,4,4,3,42,1,12,No Change
5,Public Static Generic Class,android.util.Pools.SynchronizedPool,1,1,0,0,3,1,7,3,3,18,2,33,No Change
7,Public Class,com.android.camera.CameraActivity,1,1,0,0,1,0,1,1,1,10,2,0,Lines Increased
8,Public Class,com.android.camera.DisableCameraReceiver,2,1,0,0,4,0,4,4,1,44,2,0,Lines Increased
9,Public Class,com.android.gallery3d.anim.AlphaAnimation,1,1,0,0,4,3,14,4,3,22,3,41,Lines Increased
10,Public Abstract Class,com.android.gallery3d.anim.Animation,1,1,0,3,8,3,8,8,7,35,1,57,Lines Increased
11,Public Abstract Class,com.android.gallery3d.anim.CanvasAnimation,0,1,0,1,2,0,10,2,2,3,2,0,Lines Increased
12,Public Class,com.android.gallery3d.anim.FloatAnimation,1,1,0,0,3,3,11,3,2,17,2,22,Lines Increased
13,Public Class,com.android.gallery3d.anim.StateTransitionAnimation,1,1,2,0,8,8,16,8,6,135,2,73,Lines Increased
14,Public Static Class,com.android.gallery3d.anim.StateTransitionAnimation.Spec,5,1,1,0,0,14,1,1,0,55,1,100,No Change
15,Public Class,com.android.gallery3d.app.AbstractGalleryActivity,1,2,12,2,30,13,31,31,16,276,2,91,Lines Increased
16,Anonymous Class,com.android.gallery3d.app.AbstractGalleryActivity.(Anon_1),2,1,1,0,1,0,1,1,1,5,2,0,No Change
17,Anonymous Class,com.android.gallery3d.app.AbstractGalleryActivity.(Anon_4),1,1,3,0,2,0,2,2,2,9,2,0,No Change
18,Anonymous Class,com.android.gallery3d.app.AbstractGalleryActivity.onStart.(Anon_2),1,1,0,0,1,0,1,1,1,5,2,0,No Change
19,Anonymous Class,com.android.gallery3d.app.AbstractGalleryActivity.onStart.(Anon_3),1,1,0,0,1,0,1,1,1,5,2,0,No Change
20,Public Abstract Class,com.android.gallery3d.app.ActivityState,1,1,10,5,25,13,25,25,2,186,1,90,Lines Increased
21,Anonymous Class,com.android.gallery3d.app.ActivityState.(Anon_1),3,1,1,0,1,0,1,1,1,12,2,0,No Change
22,Protected Static Class,com.android.gallery3d.app.ActivityState.ResultEntry,0,1,0,0,0,3,0,0,0,5,1,0,No Change
23,Public Class,com.android.gallery3d.app.AlbumDataLoader,2,1,9,0,14,16,14,14,11,288,1,83,Lines Increased
24,Anonymous Class,com.android.gallery3d.app.AlbumDataLoader.AlbumDataLoader.(Anon_1),6,1,3,0,1,0,1,1,1,19,2,0,Modified
25,Public Interface,com.android.gallery3d.app.AlbumDataLoader.DataListener,0,0,0,0,2,0,2,2,2,4,0,0,Modified
27,Private Class,com.android.gallery3d.app.AlbumDataLoader.GetUpdateInfo,3,2,2,0,2,1,2,2,2,26,1,0,No Change
28,Private Class,com.android.gallery3d.app.AlbumDataLoader.MySourceListener,2,2,2,0,1,0,1,1,1,6,1,0,No Change
29,Private Class,com.android.gallery3d.app.AlbumDataLoader.ReloadTask,3,1,7,0,4,3,4,4,3,53,2,58,No Change
30,Private Class,com.android.gallery3d.app.AlbumDataLoader.UpdateContent,5,2,6,0,2,1,2,2,2,42,1,0,No Change
31,Private Static Class,com.android.gallery3d.app.AlbumDataLoader.UpdateInfo,0,1,0,0,0,5,0,0,0,7,1,0,No Change
32,Public Class,com.android.gallery3d.app.AlbumPage,2,5,25,0,31,29,56,31,6,616,2,88,Lines Increased
33,Anonymous Class,com.android.gallery3d.app.AlbumPage.(Anon_1),2,1,5,0,2,0,2,2,2,19,2,0,Modified
34,Anonymous Class,com.android.gallery3d.app.AlbumPage.(Anon_2),2,1,4,0,2,1,2,2,0,33,2,0,Modified
35,Anonymous Class,com.android.gallery3d.app.AlbumPage.initializeViews.(Anon_4),1,1,1,0,4,0,4,4,4,17,2,0,Modified
36,Anonymous Class,com.android.gallery3d.app.AlbumPage.initializeViews.(Anon_5),1,1,1,0,1,0,1,1,1,5,2,0,Modified
37,Private Class,com.android.gallery3d.app.AlbumPage.MyDetailsSource,1,2,5,0,3,1,3,3,3,23,1,33,Modified
38,Private Class,com.android.gallery3d.app.AlbumPage.MyLoadingListener,1,2,1,0,2,0,2,2,2,13,1,0,No Change
39,Anonymous Class,com.android.gallery3d.app.AlbumPage.onCreate.(Anon_3),2,1,1,0,1,0,1,1,1,12,2,0,Modified
40,Anonymous Class,com.android.gallery3d.app.AlbumPage.onSyncDone.(Anon_7),2,1,4,0,1,0,1,1,1,16,2,0,Modified
41,Anonymous Class,com.android.gallery3d.app.AlbumPage.showDetails.(Anon_6),1,1,1,0,1,0,1,1,1,5,2,0,Modified
42,Public Class,com.android.gallery3d.app.AlbumPicker,2,1,4,0,1,0,36,1,1,13,4,0,Lines Increased
43,Public Class,com.android.gallery3d.app.AlbumSetDataLoader,1,1,9,0,17,17,17,17,13,289,1,85,Lines Increased
44,Anonymous Class,com.android.gallery3d.app.AlbumSetDataLoader.AlbumSetDataLoader.(Anon_1),6,1,2,0,1,0,1,1,1,15,2,0,Modified
45,Public Interface,com.android.gallery3d.app.AlbumSetDataLoader.DataListener,0,0,0,0,2,0,2,2,2,4,0,0,Modified
47,Private Class,com.android.gallery3d.app.AlbumSetDataLoader.GetUpdateInfo,2,2,2,0,3,1,3,3,2,25,1,33,No Change
48,Private Class,com.android.gallery3d.app.AlbumSetDataLoader.MySourceListener,1,2,2,0,1,0,1,1,1,6,1,0,No Change
49,Private Class,com.android.gallery3d.app.AlbumSetDataLoader.ReloadTask,3,1,5,0,4,3,4,4,3,53,2,58,No Change
50,Private Class,com.android.gallery3d.app.AlbumSetDataLoader.UpdateContent,5,2,4,0,2,1,2,2,2,33,1,0,No Change
51,Private Static Class,com.android.gallery3d.app.AlbumSetDataLoader.UpdateInfo,0,1,2,0,0,6,0,0,0,8,1,0,No Change
52,Public Class,com.android.gallery3d.app.AlbumSetPage,2,5,23,0,33,30,59,34,12,603,2,89,Lines Increased
53,Anonymous Class,com.android.gallery3d.app.AlbumSetPage.(Anon_1),1,1,4,0,2,1,2,2,0,25,2,50,Modified
54,Anonymous Class,com.android.gallery3d.app.AlbumSetPage.initializeViews.(Anon_4),1,1,1,0,4,0,4,4,4,17,2,0,Modified
55,Anonymous Class,com.android.gallery3d.app.AlbumSetPage.initializeViews.(Anon_5),1,1,1,0,1,0,1,1,1,5,2,0,Modified
56,Private Class,com.android.gallery3d.app.AlbumSetPage.MyDetailsSource,1,2,5,0,3,1,3,3,3,23,1,33,Modified
57,Private Class,com.android.gallery3d.app.AlbumSetPage.MyLoadingListener,1,2,1,0,2,0,2,2,2,10,1,0,No Change
58,Anonymous Class,com.android.gallery3d.app.AlbumSetPage.onCreate.(Anon_2),2,1,1,0,1,0,1,1,1,11,2,0,Modified
59,Anonymous Class,com.android.gallery3d.app.AlbumSetPage.onSyncDone.(Anon_7),3,1,5,0,1,0,1,1,1,17,2,0,Modified
60,Anonymous Class,com.android.gallery3d.app.AlbumSetPage.setupCameraButton.(Anon_3),1,1,1,0,1,0,1,1,1,5,2,0,Modified
61,Anonymous Class,com.android.gallery3d.app.AlbumSetPage.showDetails.(Anon_6),1,1,1,0,1,0,1,1,1,5,2,0,Modified
62,Public Abstract Class,com.android.gallery3d.app.AppBridge,1,2,1,0,9,0,9,9,9,22,1,0,Lines Increased
63,Public Interface,com.android.gallery3d.app.AppBridge.Server,0,0,0,1,5,0,5,5,5,7,0,0,No Change
64,Public Class,com.android.gallery3d.app.BatchService,1,1,1,0,2,2,2,2,2,15,2,50,Lines Increased
65,Public Class,com.android.gallery3d.app.BatchService.LocalBinder,1,1,1,0,1,0,1,1,0,5,2,0,No Change
66,Class,com.android.gallery3d.app.Bookmarker,2,1,1,0,3,1,3,3,3,53,1,0,Lines Increased
67,Public Abstract Class,com.android.gallery3d.app.CommonControllerOverlay,1,4,3,2,27,10,27,27,19,237,2,81,Lines Increased
68,Class,com.android.gallery3d.app.Config,0,1,0,0,0,0,0,0,0,84,1,0,No Change
69,Public Static Class,com.android.gallery3d.app.Config.AlbumPage,1,1,0,0,1,2,2,2,1,19,1,50,Modified
70,Public Static Class,com.android.gallery3d.app.Config.AlbumSetPage,1,1,0,1,1,5,2,2,1,46,1,50,Modified
71,Public Static Class,com.android.gallery3d.app.Config.ManageCachePage,1,1,0,0,1,2,4,2,2,17,2,50,No Change
72,Public Interface,com.android.gallery3d.app.ControllerOverlay,0,0,1,1,10,0,10,10,0,21,0,0,Lines Increased
73,Interface,com.android.gallery3d.app.ControllerOverlay.Listener,0,0,0,2,7,0,7,7,0,9,0,0,No Change
74,Public Class,com.android.gallery3d.app.DialogPicker,2,1,4,0,1,0,36,1,1,14,4,0,Lines Increased
75,Public Class,com.android.gallery3d.app.EyePosition,3,1,2,0,6,12,6,6,4,139,1,44,Lines Increased
76,Public Interface,com.android.gallery3d.app.EyePosition.EyePositionListener,0,0,0,2,1,0,1,1,1,3,0,0,No Change
77,Private Class,com.android.gallery3d.app.EyePosition.PositionListener,2,2,1,0,2,0,2,2,2,19,1,0,No Change
78,Public Class,com.android.gallery3d.app.FilmstripPage,0,1,0,0,0,0,87,0,0,1,3,0,Lines Increased
79,Public Class,com.android.gallery3d.app.FilterUtils,3,1,3,0,0,0,11,11,4,165,1,0,Lines Increased
80,Public Class,com.android.gallery3d.app.Gallery,1,1,0,0,1,0,1,1,1,10,2,0,Lines Increased
