,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
0,Public Class,com.android.camera.ActionMenuButton,1,1,0,0,6,2,6,6,4,45,2,75,No Change
1,Class,com.android.camera.BitmapCache,3,2,1,0,7,1,7,7,6,81,1,28,No Change
2,Public Static Class,com.android.camera.BitmapCache.Entry,1,1,0,0,2,2,2,2,2,11,1,50,No Change
3,Public Class,com.android.camera.BitmapManager,2,1,2,0,9,1,10,10,6,119,1,80,No Change
4,Private Static Class,com.android.camera.BitmapManager.ThreadStatus,3,1,1,0,1,3,1,1,1,18,1,33,No Change
5,Public Class,com.android.camera.CropImage,5,1,8,0,6,21,13,6,1,382,4,69,No Change
6,Anonymous Class,com.android.camera.CropImage.(Anon_7),3,1,3,0,4,4,4,4,1,108,2,50,No Change
7,Anonymous Class,com.android.camera.CropImage.(Anon_7).run.(Anon_8),5,1,4,0,1,0,1,1,1,22,2,0,No Change
8,Anonymous Class,com.android.camera.CropImage.onCreate.(Anon_1),1,1,0,0,1,0,1,1,1,5,2,0,No Change
9,Anonymous Class,com.android.camera.CropImage.onCreate.(Anon_2),1,1,1,0,1,0,1,1,1,4,2,0,No Change
10,Anonymous Class,com.android.camera.CropImage.onSaveClicked.(Anon_5),1,1,1,0,1,0,1,1,1,4,2,0,No Change
11,Anonymous Class,com.android.camera.CropImage.saveOutput.(Anon_6),1,1,2,0,1,0,1,1,1,5,2,0,No Change
12,Anonymous Class,com.android.camera.CropImage.startFaceDetection.(Anon_3),3,1,2,0,1,0,1,1,1,27,2,0,No Change
13,Anonymous Class,com.android.camera.CropImage.startFaceDetection.(Anon_3).run.(Anon_4),3,1,3,0,1,0,1,1,1,12,2,0,No Change
14,Class,com.android.camera.CropImageView,4,1,4,0,12,5,41,12,3,196,3,78,No Change
