,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
0,Class,com.android.packageinstaller.CaffeinatedScrollView,1,1,0,0,7,2,7,7,4,37,2,71,Lines Increased
1,Public Class,com.android.packageinstaller.GrantActivity,3,2,3,0,7,5,7,7,2,135,2,54,Class Deleted
2,Public Class,com.android.packageinstaller.InstallAppProgress,2,3,4,0,8,15,8,8,5,233,2,83,Lines Increased
3,Anonymous Class,com.android.packageinstaller.InstallAppProgress.(Anon_1),11,1,2,0,1,0,1,1,1,68,2,0,No Change
4,Anonymous Class,com.android.packageinstaller.InstallAppProgress.onCreateDialog.(Anon_2),1,1,0,0,1,0,1,1,1,6,2,0,No Change
5,Anonymous Class,com.android.packageinstaller.InstallAppProgress.onCreateDialog.(Anon_3),1,1,1,0,1,0,1,1,1,5,2,0,No Change
6,Class,com.android.packageinstaller.InstallAppProgress.PackageInstallObserver,1,1,1,0,1,0,1,1,1,7,2,0,No Change
7,Public Class,com.android.packageinstaller.InstallFlowAnalytics,1,2,0,0,40,10,45,45,4,328,1,91,No Change
8,Anonymous Class,com.android.packageinstaller.InstallFlowAnalytics.(Anon_1),1,1,1,0,2,0,2,2,2,9,2,0,No Change
9,Anonymous Class,com.android.packageinstaller.InstallFlowAnalytics.writeToEventLog.(Anon_2),3,1,1,0,1,0,1,1,1,20,2,0,No Change
10,Public Class,com.android.packageinstaller.PackageInstallerActivity,4,3,6,0,16,18,16,16,4,518,2,83,Lines Increased
11,Anonymous Class,com.android.packageinstaller.PackageInstallerActivity.onCreateDialog.(Anon_10),1,1,1,0,1,0,1,1,1,7,2,0,Lines Decreased
12,Anonymous Class,com.android.packageinstaller.PackageInstallerActivity.onCreateDialog.(Anon_3),1,1,1,0,1,0,1,1,1,4,2,0,No Change
13,Anonymous Class,com.android.packageinstaller.PackageInstallerActivity.onCreateDialog.(Anon_4),1,1,1,0,1,0,1,1,1,5,2,0,No Change
14,Anonymous Class,com.android.packageinstaller.PackageInstallerActivity.onCreateDialog.(Anon_5),1,1,0,0,1,0,1,1,1,4,2,0,No Change
15,Anonymous Class,com.android.packageinstaller.PackageInstallerActivity.onCreateDialog.(Anon_6),1,1,0,0,1,0,1,1,1,7,2,0,Lines Decreased
16,Anonymous Class,com.android.packageinstaller.PackageInstallerActivity.onCreateDialog.(Anon_7),1,1,1,0,1,0,1,1,1,5,2,0,Lines Increased
17,Anonymous Class,com.android.packageinstaller.PackageInstallerActivity.onCreateDialog.(Anon_8),1,1,0,0,1,0,1,1,1,4,2,0,Lines Increased
18,Anonymous Class,com.android.packageinstaller.PackageInstallerActivity.onCreateDialog.(Anon_9),1,1,0,0,1,0,1,1,1,4,2,0,No Change
19,Anonymous Class,com.android.packageinstaller.PackageInstallerActivity.startInstallConfirm.(Anon_1),3,1,2,0,1,0,1,1,1,9,2,0,No Change
20,Anonymous Class,com.android.packageinstaller.PackageInstallerActivity.startInstallConfirm.(Anon_2),1,1,1,0,1,0,1,1,1,6,2,0,No Change
21,Public Class,com.android.packageinstaller.PackageUtil,2,1,1,0,0,0,8,8,8,103,1,0,Lines Increased
22,Public Static Class,com.android.packageinstaller.PackageUtil.AppSnippet,1,1,0,0,1,2,1,1,1,8,1,0,No Change
23,Public Class,com.android.packageinstaller.RemoveReceiver,5,1,1,0,1,0,1,1,1,16,2,0,Lines Increased
24,Public Class,com.android.packageinstaller.TabsAdapter,1,3,3,0,11,6,11,11,11,95,2,77,Lines Increased
25,Static Class,com.android.packageinstaller.TabsAdapter.DummyTabFactory,1,2,0,0,2,1,2,2,2,13,1,0,No Change
26,Static Class,com.android.packageinstaller.TabsAdapter.TabInfo,1,1,0,0,1,2,1,1,0,8,1,0,No Change
27,Public Class,com.android.packageinstaller.UninstallAppProgress,2,2,2,0,5,13,5,5,4,192,2,72,Lines Increased
28,Anonymous Class,com.android.packageinstaller.UninstallAppProgress.(Anon_1),14,1,1,0,1,0,1,1,1,87,2,0,Lines Increased
29,Anonymous Class,com.android.packageinstaller.UninstallAppProgress.initView.(Anon_2),1,1,0,0,1,0,1,1,1,10,2,0,No Change
30,Class,com.android.packageinstaller.UninstallAppProgress.PackageDeleteObserver,1,1,1,0,1,0,1,1,1,8,2,0,No Change
31,Public Class,com.android.packageinstaller.UninstallerActivity,2,1,5,0,6,1,6,6,1,167,2,50,Lines Increased
32,Public Static Class,com.android.packageinstaller.UninstallerActivity.AppNotFoundDialogFragment,1,1,1,0,2,0,2,2,2,17,2,0,No Change
33,Static Class,com.android.packageinstaller.UninstallerActivity.DialogInfo,0,1,0,0,0,5,0,0,0,7,1,0,No Change
34,Public Static Class,com.android.packageinstaller.UninstallerActivity.UninstallAlertDialogFragment,3,2,2,0,3,0,3,3,3,54,2,0,No Change
