,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
0,Public Class,com.android.terminal.Terminal,1,1,3,0,15,9,25,25,15,138,1,86,No Change
1,Anonymous Class,com.android.terminal.Terminal.(Anon_1),2,1,2,0,4,0,12,4,4,34,2,0,No Change
2,Public Static Class,com.android.terminal.Terminal.CellRun,0,1,0,0,0,11,0,0,0,13,1,0,No Change
3,Anonymous Class,com.android.terminal.Terminal.Terminal.(Anon_2),1,1,1,0,1,0,1,1,1,5,2,0,No Change
4,Public Interface,com.android.terminal.Terminal.TerminalClient,0,0,0,1,4,0,4,4,4,7,0,0,No Change
5,Public Class,com.android.terminal.TerminalActivity,1,1,1,0,6,5,6,6,3,132,2,70,No Change
6,Anonymous Class,com.android.terminal.TerminalActivity.(Anon_1),1,1,4,0,2,0,2,2,2,17,2,0,No Change
7,Anonymous Class,com.android.terminal.TerminalActivity.(Anon_2),1,1,4,0,6,1,6,6,6,57,2,66,No Change
8,Public Abstract Class,com.android.terminal.TerminalCallbacks,1,1,0,1,8,0,8,8,8,26,1,0,No Change
9,Public Class,com.android.terminal.TerminalKeys,7,1,1,0,3,1,6,6,6,160,1,66,No Change
10,Public Class,com.android.terminal.TerminalLineView,2,1,3,0,3,5,3,3,1,46,2,53,No Change
11,Public Class,com.android.terminal.TerminalService,1,1,2,0,4,1,4,4,4,31,2,25,No Change
12,Public Class,com.android.terminal.TerminalService.ServiceBinder,1,1,1,0,1,0,1,1,1,5,2,0,No Change
13,Public Class,com.android.terminal.TerminalView,1,1,4,0,14,12,14,14,10,230,2,85,No Change
14,Anonymous Class,com.android.terminal.TerminalView.(Anon_1),2,1,0,0,1,0,1,1,1,8,2,0,No Change
15,Anonymous Class,com.android.terminal.TerminalView.(Anon_2),2,1,1,0,1,0,1,1,1,8,2,0,No Change
16,Anonymous Class,com.android.terminal.TerminalView.(Anon_3),1,1,2,0,4,0,4,4,4,30,2,0,No Change
17,Anonymous Class,com.android.terminal.TerminalView.(Anon_4),1,2,2,0,4,0,4,4,4,18,1,0,No Change
18,Anonymous Class,com.android.terminal.TerminalView.(Anon_5),2,1,2,0,1,0,1,1,1,9,2,0,No Change
19,Anonymous Class,com.android.terminal.TerminalView.onCreateInputConnection.(Anon_6),4,1,0,0,1,0,1,1,1,18,2,0,No Change
20,Static Class,com.android.terminal.TerminalView.TerminalMetrics,1,1,2,0,2,8,2,2,2,32,1,56,No Change
